method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
laplacian_ssl,50,0.6414201961939093,0.13330926295013182,6,0.41404664206215447,0.10035873833219698,6,0.36566930260724617,0.08524887568927975,6,0.36566930260724617,0.08524887568927975,6,0.7283864751494922,0.07321355244645604,6,0.5406023386267212,0.13231009301345054,3,0.8046478851063331,0.32870385540303687,6,10.726216666666666,2.5117930961101598,6
laplacian_ssl,100,0.6478748081702433,0.1287190817746671,6,0.4162853450582249,0.10224022167704815,6,0.3707127049282481,0.08957042987767075,6,0.3707127049282481,0.08957042987767075,6,0.7843260978463413,0.07959602609950515,6,0.6647655769011639,0.03477853774108979,3,0.7399122159237331,0.3309397081362519,6,11.454916666666668,2.248784485375748,6
laplacian_ssl,250,0.688830427981005,0.12872266541364702,6,0.5104049279086773,0.15594564857344947,6,0.5079622866774661,0.16600642739171564,6,0.5079622866774661,0.16600642739171564,6,0.8011736386044842,0.08522844706780033,6,0.6924369967842109,0.023879649662867923,3,0.6680629457082534,0.31631584879761837,6,13.274816666666666,2.7009218392368686,6
laplacian_ssl,500,0.7121851465984115,0.13850925298252423,6,0.5670089662618552,0.19905232201389386,6,0.574307782533313,0.2069464627567742,6,0.574307782533313,0.2069464627567742,6,0.8182058708684949,0.07743527299164579,6,0.7172668590717418,0.019278723343393218,3,0.6359916062754737,0.3126950345527029,6,18.1294,3.2375446449431418,6
tabiclv2_self_training,50,0.6505491325851773,0.14475873586031046,6,0.5371253748967494,0.16703275053465153,6,0.5360405338608433,0.172695417881949,6,0.5360405338608433,0.172695417881949,6,0.7430122512998096,0.08468020660385224,6,0.5893542899101517,0.024474661674390802,3,0.8239135875144683,0.38008715767194945,6,23.313433333333336,16.73360349364914,6
tabiclv2_self_training,100,0.680971251172481,0.15733248036960054,6,0.560550860433327,0.1858898912310864,6,0.5650472664274616,0.19546674492307303,6,0.5650472664274616,0.19546674492307303,6,0.7798320257760594,0.0934556583989255,6,0.6780316036141009,0.016448925115142968,3,0.7267411704111065,0.37023765282751986,6,24.559083333333334,14.640517727787726,6
tabiclv2_self_training,250,0.7227200496024965,0.11973004530016183,6,0.5867568193055487,0.15652823109558153,6,0.5965075122343676,0.1644662522379709,6,0.5965075122343676,0.1644662522379709,6,0.8256818067439148,0.05917253738312687,6,0.690659172567397,0.037305165808800896,3,0.6278535674714661,0.28850786000017575,6,28.363616666666662,18.41994148562005,6
tabiclv2_self_training,500,0.7453126416902488,0.10917523428819505,6,0.6092346869416806,0.15576397357218014,6,0.6206867790365863,0.16333948561560144,6,0.6206867790365863,0.16333948561560144,6,0.8505652943382191,0.04976098633062007,6,0.7404288823191708,0.010204294417045725,3,0.5903741493417043,0.2775676808142466,6,26.848516666666665,16.39839848661041,6
tabpfn3_self_training,50,0.657417467481221,0.1402193063674339,6,0.5034583043848778,0.17708008488154717,6,0.4936323414878763,0.17960239745009585,6,0.4936323414878763,0.17960239745009585,6,0.7547084212828404,0.09940302599146622,6,0.6258328229071901,0.038161817658707624,3,0.7580455046746079,0.3445591306158832,6,16.966083333333334,2.3167992545032186,6
tabpfn3_self_training,100,0.6955566706095618,0.14285268302165735,6,0.5621963761763019,0.1826740125720815,6,0.5643453199944072,0.19626505548770307,6,0.5643453199944072,0.19626505548770307,6,0.7866287110100613,0.08076414375855784,6,0.6731822691163566,0.0300460681573938,3,0.6998713718345048,0.31832814240382296,6,22.276750000000003,7.221707857771597,6
tabpfn3_self_training,250,0.7128021195591371,0.12523476392160923,6,0.5760233646464771,0.16331941737354322,6,0.5839187720580418,0.17178007435289375,6,0.5839187720580418,0.17178007435289375,6,0.8172688490308201,0.06459660257461214,6,0.6828453374977611,0.0336454416035772,3,0.6335554095018642,0.2897897507383611,6,20.816550000000003,6.1010593105623885,6
tabpfn3_self_training,500,0.7408384778122037,0.10993657905242403,6,0.6010343568908947,0.15899643289191676,6,0.6121021076789455,0.16652757878859326,6,0.6121021076789455,0.16652757878859326,6,0.846858354392749,0.04831557747263355,6,0.7314033184465125,0.004017877835520946,3,0.5897080781304962,0.26585625601005747,6,22.07525,5.809608902069053,6
