scope,delta_mean,delta_std,delta_se,delta_ci95_low,delta_ci95_high,n_pairs,positive_fraction,zero_fraction
overall,-0.004766406964582671,0.024849981276538393,0.0022684825497901835,-0.00921263276217143,-0.000320181166993911,120,0.38333333333333336,0.008333333333333333
budget_50,-0.009885384693975072,0.04263659256769521,0.007784341174827926,-0.025142693396637807,0.005371924008687662,30,0.43333333333333335,0.0
budget_100,-0.003109794515599945,0.02001423450073673,0.003654082569083884,-0.010271796351004357,0.004052207319804468,30,0.43333333333333335,0.03333333333333333
budget_250,-0.005048523125210608,0.012896648710003992,0.002354595138229696,-0.009663529596140811,-0.0004335166542804034,30,0.26666666666666666,0.0
budget_500,-0.0010219255235450586,0.010230453812430455,0.0018678167755276287,-0.004682846403579211,0.0026389953564890933,30,0.4,0.0
