combined_method,component_method,delta_mean,delta_std,delta_se,delta_ci95_low,delta_ci95_high,n_pairs,positive_fraction,zero_fraction
geometric_attention_ssl,embedding_alignment_ssl,0.013080251948639626,0.1167534996083845,0.010658087567197128,-0.0078095996830667425,0.033970103580345995,120,0.55,0.041666666666666664
geometric_attention_ssl,laplacian_ssl,-0.02131735477895761,0.06455685956336756,0.0058932080374249195,-0.03286804253231045,-0.009766667025604768,120,0.325,0.075
geometric_attention_ssl,unlabeled_attention_ssl,-0.0715043747602935,0.08904792049611313,0.008128925792441297,-0.08743706931347844,-0.055571680207108565,120,0.14166666666666666,0.041666666666666664
