method,n_labeled,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_brier_mean,metric_brier_std,metric_brier_count,metric_ece_mean,metric_ece_std,metric_ece_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
embedding_alignment_ssl,50,0.5598535176386348,0.15166278071911135,30,0.5346271241880621,0.16672472223748408,30,0.666481094577831,0.1630862168580889,30,0.7798920783172083,0.3565646395539447,30,0.7603128932515533,0.17086094965242288,30,0.5363851586976357,0.2198404543189405,18,0.43964760125304664,0.1534443228121497,30,0.1271251619071899,0.07323063899823762,30,3.5038833333333335,0.3399238333380942,30
embedding_alignment_ssl,100,0.5866411317532635,0.14961254551289957,30,0.5615956238230715,0.16483269954926386,30,0.6976731134864432,0.13512838271365973,30,0.7332304466050984,0.3395231945908142,30,0.7967397069808516,0.1487502179074679,30,0.5793275314744655,0.20005654524361025,18,0.41232623134117097,0.14764371918513344,30,0.10586528897442564,0.08138227995277879,30,3.597513333333333,0.3991863964696653,30
embedding_alignment_ssl,250,0.5861865051852758,0.17403740100654566,30,0.560793130849148,0.19008914977421326,30,0.7073688687841655,0.13963865379290016,30,0.7102616106656799,0.32502860824746843,30,0.8144689347371151,0.14221161625534925,30,0.6131559384182145,0.20695431331728978,18,0.3997800711289006,0.14350296842359309,30,0.11111052074302918,0.0819182758347875,30,3.5722099999999997,0.41307646478421006,30
embedding_alignment_ssl,500,0.5996346149697774,0.17844434569614184,30,0.57842864205978,0.1957034349775813,30,0.720153673151455,0.13067881527056235,30,0.6947918763540418,0.3168392665023993,30,0.8245150582419137,0.13526157681719586,30,0.6294977399179472,0.20779013672383134,18,0.3907601476816679,0.13851830203591553,30,0.10171090634310401,0.08584032285657565,30,3.60833,0.312491346252594,30
geometric_attention_ssl,50,0.48173603066105686,0.12826011754822567,30,0.41945372386045016,0.1391497471919525,30,0.6470389824802621,0.13205193041629812,30,0.9220522579961419,0.48611875276035055,30,0.7402928847941211,0.12476530834407726,30,0.5107116291466882,0.2359337305598488,18,0.5068570864386878,0.18296816504088453,30,0.15272328681179667,0.11088362075303372,30,7.2104099999999995,3.1291674873182576,30
geometric_attention_ssl,100,0.5566362068802901,0.17757854096501643,30,0.5173808016443855,0.19976115098267944,30,0.69116480515558,0.14112758237763168,30,0.7499570170483183,0.3752471834816417,30,0.8010561349909616,0.10138110338220015,30,0.6005433499914349,0.21841220037625342,18,0.4125131283509861,0.15526058764292267,30,0.0801456272331523,0.054003354189991276,30,8.162923333333334,2.97462723154989,30
geometric_attention_ssl,250,0.645168118899132,0.18636390339704242,30,0.6361856237943118,0.19349975728736904,30,0.7572710693070873,0.12005024463631404,30,0.5854768798865823,0.28584054526485875,30,0.8582274846866881,0.07764483210955218,30,0.6851954922278394,0.1620223662926479,18,0.33101023673809404,0.13555758922650613,30,0.05491037736940366,0.0406361906334368,30,9.906216666666667,3.140930912092819,30
geometric_attention_ssl,500,0.7010964209010311,0.1621409064494331,30,0.7036550000455157,0.1651856460495361,30,0.7919992039990581,0.10612997061378292,30,0.4939374566856286,0.23841848379755876,30,0.8837391719215595,0.07429243742349491,30,0.723683069026898,0.1501163202084537,18,0.2843398143251378,0.12737943773571453,30,0.04132711159895151,0.017824512572235406,30,12.583996666666668,3.0417618940892366,30
laplacian_ssl,50,0.5592000661711887,0.16176223026225445,30,0.5308475707360587,0.17743271703600533,30,0.6975181487900592,0.12611810026703651,30,0.8166395952491994,0.4184823193692419,30,0.7989653888534246,0.09602375841094948,30,0.5946263423596246,0.20637299401551293,18,0.44475293341496974,0.1643534584134065,30,0.1395795134111137,0.09920744482222595,30,6.308986666666667,3.06076831775757,30
laplacian_ssl,100,0.5706737983098956,0.17337366089720277,30,0.5399667097921693,0.18846702403084503,30,0.710346606472677,0.12551044666795813,30,0.7656215519740257,0.4106768145097184,30,0.8287499453514862,0.08311739546025716,30,0.6493191223180476,0.1716887216505527,18,0.4154622256560851,0.16585253309740602,30,0.1249589151796763,0.09833576642864979,30,6.74352,3.2040624607971755,30
laplacian_ssl,250,0.6439710244167098,0.18432013983549017,30,0.6356930297387106,0.1900841181311637,30,0.7620515529225433,0.11676331008235008,30,0.5918139771283789,0.285769757916284,30,0.8669324984138288,0.07714450699502719,30,0.695042234540574,0.15887549891301297,18,0.3296362623887893,0.13321085100225685,30,0.0728419359349605,0.06958326321034457,30,7.396786666666667,4.053776284313723,30
laplacian_ssl,500,0.6960613075595463,0.16575949863150014,30,0.7000312157263971,0.164542602560077,30,0.7943065547543955,0.10444764395627466,30,0.5079137484096504,0.2403034933491485,30,0.8881319164390876,0.07009632979272283,30,0.7304690192991375,0.1487654617760431,18,0.2870695048251122,0.12315109205190039,30,0.05674911647879077,0.05218321555183032,30,9.971296666666666,5.932415678083821,30
tabiclv2,50,0.6965577351515349,0.14316146545532255,30,0.6914542510299737,0.14787391597743893,30,0.7499706687490638,0.12189346692504846,30,0.6112216209385736,0.3213697903467833,30,0.8401204555616366,0.10518236748828831,30,0.6467512831516459,0.21816475461423362,18,0.3463275413433886,0.15581573914044736,30,0.07648316188912778,0.042743451999336726,30,6.381,2.083625248587597,30
