method,n_labeled,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_brier_mean,metric_brier_std,metric_brier_count,metric_ece_mean,metric_ece_std,metric_ece_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
tabiclv2,100,0.7329925511734119,0.14634059845276545,30,0.732399179895226,0.14752637713130057,30,0.785311089582581,0.12047422889994824,30,0.5057448383156292,0.28708411054325755,30,0.8736322345562701,0.08940624196383293,30,0.7172201873219232,0.17656647878518872,18,0.29181812425225784,0.15091532196257854,30,0.04435523608727876,0.030101763901171485,30,6.272513333333333,1.7982514917002848,30
tabiclv2,250,0.7631795746606727,0.1440277017189943,30,0.7685329793916118,0.14103647142166092,30,0.8247634061291844,0.09988915931117583,30,0.4180083258185069,0.22443064304565705,30,0.9047843947691445,0.06825945471189926,30,0.7594380117515405,0.1561547199825534,18,0.24329492187442942,0.1255822386115048,30,0.0315834901646089,0.018407456798334377,30,6.076613333333333,1.858867252171441,30
tabiclv2,500,0.7811443717774298,0.13967356577362683,30,0.789309660195815,0.13660069696137095,30,0.8423760610058246,0.09155775018590505,30,0.3714870440680421,0.20796213944309946,30,0.9211982861373833,0.058920182568825606,30,0.7878052081845137,0.14550301784394534,18,0.21832888265945413,0.11799641981647081,30,0.02359396118941098,0.01459056633957642,30,6.515373333333333,2.011314470676832,30
tabiclv2_self_training,50,0.698095427434349,0.14276675866800217,30,0.6935320948836784,0.14682395978348198,30,0.750376584012398,0.12266792209045296,30,0.6109958504851563,0.3247908853470486,30,0.8404534815292531,0.1056780624962324,30,0.6470004402105425,0.21830771075295605,18,0.3451212263057831,0.15526281744558007,30,0.0750638562619302,0.04298808142154613,30,10.19946,9.851089732984384,30
tabiclv2_self_training,100,0.7354750054348482,0.1450320035166038,30,0.735007544344863,0.1457464744271349,30,0.7877545390386924,0.1186437901705849,30,0.5067167413206337,0.28838171417822506,30,0.8741692134595553,0.08912059702754249,30,0.7184752719364348,0.17686630509769216,18,0.29075691987986957,0.15032553526870387,30,0.04584444557199842,0.031610731954227804,30,10.892246666666667,9.54032484922718,30
tabiclv2_self_training,250,0.7646803752617325,0.14091637613609925,30,0.770650952050601,0.13796883130072063,30,0.8255364680172815,0.09844179819193707,30,0.41842926809305536,0.22237075143008017,30,0.9059525473859451,0.06700785484529771,30,0.7609224858931241,0.15394723824472603,18,0.2431589436614628,0.12441874081925806,30,0.032901817510431315,0.017387020259037215,30,11.59483,11.699195285180648,30
tabiclv2_self_training,500,0.7811409925507163,0.13874981805302314,30,0.7895713138123855,0.13504608516021818,30,0.8424660308220744,0.09059945611906708,30,0.3733837036349932,0.21066825076750723,30,0.9211898052469482,0.05870050075799828,30,0.7878894549648581,0.1451166612441842,18,0.21896158184993467,0.11844351003194523,30,0.02600637695765518,0.016258455103752904,30,11.665956666666666,10.629395119088981,30
tabpfn3,50,0.6866723504575598,0.16264188028323504,30,0.6831197042294259,0.16711091254673716,30,0.7607117040759885,0.12168241479040556,30,0.5701963882222404,0.3008021890594066,30,0.8442992946543864,0.10498391860532884,30,0.6574233968121603,0.22511419159092272,18,0.3253480263928117,0.14627180164267653,30,0.06237285192767276,0.03435709177493183,30,9.27885,2.8521287460361107,30
tabpfn3,100,0.7298827566578119,0.1488184053547254,30,0.7297680242570682,0.15001300520023078,30,0.7904646395817714,0.11510881026029889,30,0.4985246832194584,0.27055165108538415,30,0.8742368850695992,0.08603799286746837,30,0.7179952994586921,0.18603079672191472,18,0.2873401766747451,0.13990702133358765,30,0.0423662157830246,0.021634406630474893,30,8.829083333333333,2.6048847415210514,30
tabpfn3,250,0.7581310515354621,0.1454270606697548,30,0.7639193692015079,0.14262999876418853,30,0.822359276535344,0.1014159389366647,30,0.4183282034373594,0.22480625885852007,30,0.9044014415061968,0.06847535689529016,30,0.7613873457433429,0.15629067656387402,18,0.2436949600159803,0.12582901942075703,30,0.02672069176077538,0.016089792566996285,30,8.375499999999999,2.611970958939786,30
tabpfn3,500,0.7801224462538846,0.14070296565059984,30,0.787333721834657,0.13730124906210012,30,0.8403273411554296,0.09221944689452885,30,0.3754184260474146,0.20605537941498783,30,0.9200568990245696,0.05953498491671755,30,0.7864779419878997,0.1499064641707633,18,0.2202951756746508,0.11748141090324382,30,0.023941666981660843,0.012439519543256583,30,8.648033333333332,2.2988312498750965,30
tabpfn3_self_training,50,0.6915467544229551,0.1587097985448072,30,0.6864387096520084,0.16446495178585002,30,0.7629288488845469,0.11868155918938422,30,0.5672751859033507,0.2943521255885016,30,0.8458769453076278,0.10494856911267837,30,0.6578588735023647,0.2253358870690854,18,0.3234042204236072,0.14328198659508615,30,0.06349189115817658,0.03500806550976493,30,11.724806666666666,3.2556461872423657,30
tabpfn3_self_training,100,0.7324120508914496,0.14640492511042247,30,0.7316296909188159,0.14794232120118192,30,0.7909629918592501,0.1134279966434887,30,0.4984293260681375,0.2642392823756513,30,0.875737968892452,0.08414348106840583,30,0.7207860073525096,0.18217065375081734,18,0.2863659156178185,0.13765592639845797,30,0.042725576899091594,0.02204923253698842,30,13.729023333333334,5.613037476034507,30
tabpfn3_self_training,250,0.7608379435842209,0.14648243509552997,30,0.7658196954961635,0.14387160229738308,30,0.8223284949529452,0.10258889162098417,30,0.41886743783108227,0.22437492860616423,30,0.9039567786026118,0.07008713866905512,30,0.7609248501380533,0.1555908451842502,18,0.24382513384812968,0.12602095814218414,30,0.027305661838354,0.013810094645515128,30,13.639896666666667,5.182308931320448,30
tabpfn3_self_training,500,0.7791342121807251,0.14062564825489843,30,0.7862921472182928,0.13722608693729946,30,0.839986498570584,0.0917569351747745,30,0.376234785940235,0.20746715893603965,30,0.9201545724313781,0.05923872400223192,30,0.7864340285705935,0.1497003584185143,18,0.2203492408845227,0.11781074587198398,30,0.02453429067311035,0.012258929410975686,30,14.21173,4.985868530650506,30
unlabeled_attention_ssl,50,0.5903749818835201,0.1738054771925478,30,0.568291078840415,0.18445430338986066,30,0.7076027518551291,0.1211131455304932,30,0.8339538130055023,0.47889676030912565,30,0.8099650836755912,0.1190960304261215,30,0.606799311090292,0.2073617551494694,18,0.44804042559591795,0.1947557117091591,30,0.14751996855355784,0.15089047941790018,30,4.356023333333334,1.459044214471107,30
unlabeled_attention_ssl,100,0.6404178792878309,0.18229368141341126,30,0.6212109526234961,0.19118623763570314,30,0.7269442988712488,0.12872926137664878,30,0.7741947423598181,0.31893797534969076,30,0.8343743468192945,0.09973373238805554,30,0.6530567996972966,0.17400450460923822,18,0.39749377064035035,0.1521831317618177,30,0.1252325218576772,0.0770050052803586,30,4.603546666666667,1.5768758776800396,30
unlabeled_attention_ssl,250,0.6979407864352716,0.16846521535217968,30,0.6945765715521142,0.16948107349752994,30,0.7708745416853936,0.12247298371291467,30,0.6927535878435997,0.43269680130181615,30,0.8559171765537681,0.08886672518976843,30,0.6943426815981032,0.17483738019662848,18,0.34006563166261555,0.1782868178330282,30,0.10097974371135376,0.08274370985724352,30,4.91167,1.6772071323873605,30
unlabeled_attention_ssl,500,0.7419206287760615,0.14575846545720111,30,0.7435610924862003,0.14461391910368634,30,0.7938591435414097,0.11438956721519795,30,0.733626685518123,0.5363412315423289,30,0.8709103763147087,0.08982521706491277,30,0.718736150355435,0.16617012222483654,18,0.3231134201970715,0.1879141095066653,30,0.11408735632213009,0.0913635592229677,30,5.930196666666666,2.246019498715271,30
