dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
satimage,0,500,0.8314301315284233,0.8314301315284233,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
satimage,0,50,0.7997849326085588,0.7997849326085588,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
satimage,1,100,0.7877086438664369,0.7877086438664369,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
satimage,1,250,0.8146949389214736,0.8053839702256372,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.009310968695836364
satimage,1,500,0.858373145568907,0.8640564065377577,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.005683260968850745
satimage,1,50,0.756158076949539,0.756158076949539,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
satimage,2,100,0.8058759532559643,0.8058759532559643,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
satimage,2,250,0.8287179918686163,0.8114221101075153,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.017295881761100973
satimage,2,500,0.8363665479631807,0.8338814826672691,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.002485065295911526
satimage,2,50,0.7683446147947155,0.7683446147947155,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,0,100,0.9307359307359307,0.9285714285714286,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0021645021645021467
segment,0,250,0.9567099567099568,0.9567099567099568,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,0,500,0.974025974025974,0.974025974025974,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,0,50,0.8787878787878788,0.8787878787878788,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,1,100,0.9090909090909092,0.9090909090909092,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,1,250,0.9523809523809524,0.9523809523809524,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,1,500,0.958874458874459,0.958874458874459,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,1,50,0.9112554112554112,0.9112554112554112,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,2,100,0.8939393939393939,0.8939393939393939,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,2,250,0.9653679653679654,0.9653679653679654,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,2,500,0.9675324675324676,0.9675324675324676,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
segment,2,50,0.9112554112554112,0.9112554112554112,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
spambase,0,100,0.9028407239550936,0.9028407239550936,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
