dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
phoneme,2,50,0.5,0.7092713098914893,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.20927130989148934
satimage,0,100,0.5887816233037492,0.5591480592106741,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.02963356409307505
satimage,0,250,0.7312114959287773,0.6983637669512487,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.032847728977528634
satimage,0,500,0.7411687411601798,0.7355629335088038,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.005605807651376082
satimage,0,50,0.5518304009663884,0.5593111115295578,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.007480710563169457
satimage,1,100,0.5385848699996946,0.6152154402269655,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.07663057022727093
satimage,1,250,0.6869673408824531,0.6943140825631718,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.007346741680718694
satimage,1,500,0.7601360282449369,0.7468333484836173,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.013302679761319602
satimage,1,50,0.467774809321224,0.5543407057167323,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.08656589639550832
satimage,2,100,0.6303898636187056,0.662786297987335,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.03239643436862938
satimage,2,250,0.7422944351307211,0.7437679743812499,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0014735392505287326
satimage,2,500,0.7741306906779473,0.7520152899028901,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.022115400775057137
satimage,2,50,0.6024458592064972,0.6709725241815021,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.06852666497500493
segment,0,100,0.5670995670995671,0.6926406926406926,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.1255411255411255
segment,0,250,0.7554112554112553,0.7727272727272727,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.017316017316017396
segment,0,500,0.8896103896103896,0.8939393939393938,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.004329004329004182
segment,0,50,0.632034632034632,0.6926406926406926,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.06060606060606066
segment,1,100,0.435064935064935,0.6450216450216449,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.20995670995670995
segment,1,250,0.7619047619047619,0.79004329004329,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.02813852813852813
segment,1,500,0.8852813852813853,0.8852813852813852,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,1.1102230246251565e-16
