dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
letter,6,random_forest,50,0.317,,1,0.316666506751437,,1,0.293575404047043,,1,0.293575404047043,,1,0.8320906821832099,,1,,,0,3.069061563195891,,1,3.8399,,1,,,0,,,0
letter,6,random_forest,100,0.519,,1,0.5179698072226298,,1,0.5123872885067876,,1,0.5123872885067876,,1,0.9083991076893564,,1,,,0,2.198091650063451,,1,2.7431,,1,,,0,,,0
letter,6,random_forest,250,0.6275,,1,0.6264504770707284,,1,0.6228238824579304,,1,0.6228238824579304,,1,0.9422937099160704,,1,,,0,1.7537505042231782,,1,3.4058,,1,,,0,,,0
letter,6,random_forest,500,0.7405,,1,0.7397563206519083,,1,0.7407361656914339,,1,0.7407361656914339,,1,0.9657494609805202,,1,,,0,1.3455502519205202,,1,3.5322,,1,,,0,,,0
letter,6,rpl_lite_xgboost,50,0.23275,,1,0.2325648845061029,,1,0.1764927548403528,,1,0.1764927548403528,,1,0.7091833668408163,,1,,,0,3.244602680206299,,1,41.7561,,1,868.0,,1,0.0544200626959247,,1
letter,6,rpl_lite_xgboost,100,0.45,,1,0.4499526193077627,,1,0.4388816130034011,,1,0.4388816130034011,,1,0.8397672512897102,,1,,,0,2.659127950668335,,1,63.0374,,1,4343.0,,1,0.2731446540880503,,1
letter,6,rpl_lite_xgboost,250,0.59675,,1,0.5951499313705328,,1,0.5897944363490333,,1,0.5897944363490333,,1,0.9214181520267316,,1,,,0,1.8011497259140017,,1,73.3461,,1,6000.0,,1,0.3809523809523809,,1
letter,6,rpl_lite_xgboost,500,0.704,,1,0.7032429463494512,,1,0.7008914508880981,,1,0.7008914508880981,,1,0.9609315442018171,,1,,,0,1.2162574529647827,,1,71.8859,,1,6000.0,,1,0.3870967741935484,,1
letter,6,rpl_lr,50,0.28,,1,0.2798758906856731,,1,0.2522490681197289,,1,0.2522490681197289,,1,0.7780216417678835,,1,,,0,3.5142319202423096,,1,0.7685,,1,,,0,,,0
letter,6,rpl_lr,100,0.42925,,1,0.4282285787490246,,1,0.4187409217944718,,1,0.4187409217944718,,1,0.8645620441047542,,1,,,0,2.7981247901916504,,1,1.0684,,1,,,0,,,0
letter,6,rpl_lr,250,0.51675,,1,0.5141115529371424,,1,0.4954787092500327,,1,0.4954787092500327,,1,0.9225325882775,,1,,,0,1.944912791252136,,1,1.1701,,1,,,0,,,0
letter,6,rpl_lr,500,0.63275,,1,0.6309432841086978,,1,0.6208013471935119,,1,0.6208013471935119,,1,0.9552929068241478,,1,,,0,1.3944674730300903,,1,1.3518,,1,,,0,,,0
letter,6,self_training_catboost,50,0.266,,1,0.2659311650421787,,1,0.2336710416700179,,1,0.2336710416700179,,1,0.8285418034611733,,1,,,0,2.858230956882964,,1,5.4393,,1,0.0,,1,0.0,,1
letter,6,self_training_catboost,100,0.50075,,1,0.4988670332030436,,1,0.4928851765956218,,1,0.4928851765956218,,1,0.9008684073434676,,1,,,0,2.4451837334079483,,1,6.7577,,1,0.0,,1,0.0,,1
letter,6,self_training_catboost,250,0.6085,,1,0.6060080809148479,,1,0.6030752861792229,,1,0.6030752861792229,,1,0.9443184865638348,,1,,,0,1.9595830933985128,,1,4.9465,,1,0.0,,1,0.0,,1
letter,6,self_training_catboost,500,0.706,,1,0.7049386886032557,,1,0.704797019184511,,1,0.704797019184511,,1,0.967426155764321,,1,,,0,1.529913937770782,,1,6.8563,,1,0.0,,1,0.0,,1
letter,6,self_training_lightgbm,50,0.28625,,1,0.2874484548153224,,1,0.269048624152382,,1,0.269048624152382,,1,0.7085294131106097,,1,,,0,6.272859085572256,,1,229.1171,,1,4510.0,,1,0.2827586206896552,,1
letter,6,self_training_lightgbm,100,0.5025,,1,0.5018297374862791,,1,0.4855393448785318,,1,0.4855393448785318,,1,0.8480100398358815,,1,,,0,3.723586543885615,,1,147.1275,,1,6000.0,,1,0.3773584905660377,,1
letter,6,self_training_lightgbm,250,0.63775,,1,0.6367114913093221,,1,0.6331176581969337,,1,0.6331176581969337,,1,0.9235883934054004,,1,,,0,2.30541321017137,,1,174.1187,,1,6000.0,,1,0.3809523809523809,,1
letter,6,self_training_lightgbm,500,0.70525,,1,0.7046072567572812,,1,0.7032815967135412,,1,0.7032815967135412,,1,0.9573259669101712,,1,,,0,1.6680074438653618,,1,315.0146,,1,6000.0,,1,0.3870967741935484,,1
