dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean
phoneme,self_training_xgboost,xgboost,100,0.06658050770475821,,0.05743413064627689,,0.02005466827423319,,5.45136131593874,0.4612834477859341
phoneme,self_training_xgboost,xgboost,250,0.01860744545559645,,0.006796762845840965,,-0.009046691000379914,,10.054727687330965,0.4883378345200098
phoneme,self_training_xgboost,xgboost,500,0.0022647695178952265,,-0.0022331738373436716,,-0.004603861462995629,,4.8690395288254615,0.4883599267590897
spambase,rpl_lite_xgboost,xgboost,50,-0.0431958885038064,,-0.0432167443583491,,-0.030399300927160144,,0.7593824571552534,0.4881542699724518
spambase,rpl_lite_xgboost,xgboost,100,-0.023912141947332488,,-0.026047394811817837,,-0.00776336186893356,,4.0901707621824235,0.488268156424581
spambase,rpl_lite_xgboost,xgboost,250,-0.013092804881661202,,-0.014612459324618965,,-0.012253522517451931,,3.127424355307746,0.4880466472303207
spambase,rpl_lite_xgboost,xgboost,500,-0.006405699220948358,,-0.005731696853664814,,-0.0020044037639344037,,3.784063173007897,0.4880503144654088
spambase,rpl_lr,logistic_regression,50,0.011930151959477442,,0.016797168382010175,,0.017390424281919947,,1.8848843464228078,
spambase,rpl_lr,logistic_regression,100,-0.001096004028555253,,0.0016748358814604458,,0.003374408799628803,,1.8283678756476682,
spambase,rpl_lr,logistic_regression,250,-0.0028214698302675423,,-0.00143068108469957,,0.0032065523267865714,,1.329608938547486,
spambase,rpl_lr,logistic_regression,500,0.0004147042270211676,,0.0010123784219689957,,0.0010367605675524194,,2.1619718309859155,
spambase,self_training_catboost,catboost,50,0.010671228413163814,,0.00795968743487474,,0.0008145975887909884,,2.231149512314613,0.3584022038567493
spambase,self_training_catboost,catboost,100,0.01073787730679221,,0.007063819709701047,,0.012056044314109005,,2.5865589936716233,0.4
spambase,self_training_catboost,catboost,250,-0.035064723481145754,,-0.034821111922284986,,-0.014771369610079188,,2.084220305242203,0.4
spambase,self_training_catboost,catboost,500,-0.016047572499185536,,-0.013895519659346767,,-0.007405432625373964,,1.5377221553494298,0.4
spambase,self_training_lightgbm,lightgbm,50,0.0,,0.0,,0.0,,0.18814859792448663,0.0
spambase,self_training_lightgbm,lightgbm,100,0.01027133505139366,,0.01248699784053986,,0.024215764684972663,,3.026290379213483,0.488268156424581
spambase,self_training_lightgbm,lightgbm,250,0.008197813916289154,,0.008105549325918004,,0.0026067122841317847,,1.7979885289011626,0.4880466472303207
spambase,self_training_lightgbm,lightgbm,500,0.0017254658017121782,,0.0031989357141304353,,-0.0008985258252122152,,2.4324819535926965,0.4880503144654088
spambase,self_training_lr,logistic_regression,50,0.016943629846855712,,0.015089760079817549,,0.014181403477591337,,1.8036578805809573,0.5
spambase,self_training_lr,logistic_regression,100,0.005028288752629173,,0.004576126755928223,,0.004618521480691529,,1.716321243523316,0.5
spambase,self_training_lr,logistic_regression,250,0.0004813531206492305,,7.922904578361312e-05,,0.001142905101849112,,1.2574911122397157,0.5
spambase,self_training_lr,logistic_regression,500,0.002273467815990027,,0.0022659697354029396,,0.0005233172388597884,,1.6535211267605636,0.5
spambase,self_training_xgboost,xgboost,50,-0.03913030599247613,,-0.03884595476859021,,-0.030448670477996154,,0.8399595053872297,0.4881542699724518
spambase,self_training_xgboost,xgboost,100,-0.019779910542373935,,-0.022473097351063176,,-0.007003070786061993,,4.296751353602665,0.488268156424581
spambase,self_training_xgboost,xgboost,250,-0.018187742527918438,,-0.018527901868506724,,-0.0142480523712194,,3.8324641303564135,0.4880466472303207
spambase,self_training_xgboost,xgboost,500,-0.007368405462247041,,-0.005864054824965215,,-0.0022216297876119784,,4.0611342426417805,0.4880503144654088
