method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
catboost,50,0.6464116048162534,0.2850274364531512,3,0.6042520323037402,0.2638686467304023,3,0.6017363258737083,0.2785230233213387,3,0.6017363258737083,0.2785230233213387,3,0.852322905960908,0.06333877689806026,3,0.7531569852896696,0.20622680661908616,2,1.2164851558291463,1.1558764089028384,3,6.2122,4.205241880082524,3,,,0,,,0
catboost,100,0.7274201703292785,0.16804411396505894,3,0.6916301529248688,0.16354828155171672,3,0.6951185055063379,0.16739432627535403,3,0.6951185055063379,0.16739432627535403,3,0.890803437811006,0.056596334769307165,3,0.75262577868714,0.2324785946951485,2,1.008476855028004,0.7848062266221268,3,3.9341000000000004,3.4747981351439687,3,,,0,,,0
catboost,250,0.7876767052430308,0.13894325942998087,3,0.7666060229936124,0.1365099049105159,3,0.7698991943280257,0.13877553942902152,3,0.7698991943280257,0.13877553942902152,3,0.9317256174904757,0.053925636237817445,3,0.8146169946053078,0.2020777633528251,2,0.7289317423017302,0.6119598735692526,3,5.333100000000001,3.1770435565160264,3,,,0,,,0
catboost,500,0.8400982077659624,0.10114689298116293,3,0.8215719627878939,0.1099834675194053,3,0.8252512486019472,0.10543215603643151,3,0.8252512486019472,0.10543215603643151,3,0.9509529910594708,0.04855281765134259,3,0.8667823638660538,0.1459895481362494,2,0.5416576290423145,0.4587111277231151,3,5.9143,2.325510423541465,3,,,0,,,0
label_propagation,50,0.4700028908418132,0.38714505096733365,2,0.3989291534870158,0.28697430197160284,2,0.3895525938314902,0.3053456533394475,2,0.3895525938314902,0.3053456533394475,2,0.7744641748114989,0.051665904156074687,2,0.5348427862213693,,1,2.2823172435454646,2.299352059783885,2,33.058,40.721572421752086,2,,,0,,,0
label_propagation,100,0.4976149398704903,0.33108852311900905,2,0.42871156904657437,0.2354338609471048,2,0.43090731193574716,0.2367462869000421,2,0.43090731193574716,0.2367462869000421,2,0.825195363835842,0.06923925542081685,2,0.5420097225206013,,1,1.6010536188990594,1.4067202131315109,2,29.79205,37.595948316873184,2,,,0,,,0
label_propagation,250,0.6002278331547143,0.19163242354345483,3,0.5426488169374734,0.1527543341820445,3,0.5225536483414134,0.1621811563014686,3,0.5225536483414134,0.1621811563014686,3,0.8891623131242508,0.04950503919113402,3,0.7366287406930377,0.17227527261493875,2,1.0923123725660526,0.8065491275378756,3,19.439899999999998,25.179738406901688,3,,,0,,,0
label_propagation,500,0.6432373237371195,0.16410886457061144,3,0.589282331901197,0.12747991937304118,3,0.584268584600674,0.13180969879372728,3,0.584268584600674,0.13180969879372728,3,0.9120889597775942,0.04434902922201235,3,0.7837168661923986,0.12639215035677484,2,0.9046578573966361,0.6834719092142983,3,19.501766666666665,27.359147976012213,3,,,0,,,0
label_spreading,50,0.5443145235892692,0.24934639050329552,2,0.4933422115736877,0.17860403187272497,2,0.49101772063501614,0.19269749470336364,2,0.49101772063501614,0.19269749470336364,2,0.7760355759481623,0.06199317900795199,2,0.4988781288373849,,1,3.4749309024853368,3.401801891874028,2,7.759449999999999,5.163930112327239,2,,,0,,,0
label_spreading,100,0.6149647317298798,0.1572813819480813,2,0.57960084079581,0.10784719453738381,2,0.5802455026869329,0.11275214060560604,2,0.5802455026869329,0.11275214060560604,2,0.8401904956598598,0.08169243149209234,2,0.5336475332282942,,1,2.017908750771034,1.139615305022874,2,9.45575,9.258926903534773,2,,,0,,,0
