method,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
catboost,5.348425,3.010895172875578,12
label_propagation,24.25251,26.226417651692348,10
label_spreading,6.77355,4.651127099066061,10
lightgbm,14.118125,17.504905334382183,12
logistic_regression,0.24884166666666666,0.15169307803668045,12
mlp,0.4293833333333333,0.19108777056788867,12
random_forest,2.9614333333333334,1.8465285569184007,12
rpl_lite_xgboost,31.05231666666667,24.981035768679824,12
rpl_lr,0.567175,0.4070662088765056,12
self_training_catboost,5.030391666666667,2.565261785137704,12
self_training_lightgbm,85.06847499999999,104.84178253108239,12
self_training_lr,0.3047166666666667,0.19465133786679537,12
self_training_xgboost,61.90414166666667,78.75496228266806,12
xgboost,13.3859,14.552947344344812,12
