method,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
catboost,5.8499625,3.795710471533357,120
label_propagation,11.131218018018018,9.287047801586095,111
label_spreading,10.88660761904762,10.97503289766136,105
lightgbm,3.4152199999999997,2.810304750800124,120
logistic_regression,0.41464,0.3681483018676947,120
mlp,0.5521266666666667,0.32468403845759286,120
random_forest,2.3008958333333336,0.7710288030888189,120
rpl_lite_xgboost,20.132340833333334,12.700090148707345,120
rpl_lr,1.0709391666666666,0.8055388780706572,120
scarf,177.33605083333333,188.99474268580718,120
self_training_catboost,5.405520833333333,4.058198907573145,120
self_training_lightgbm,17.066155,12.873258783574665,120
self_training_lr,0.6475383333333333,0.4231640038430247,120
self_training_xgboost,13.33815,11.097182910461344,120
sslae,57.11855,68.79235872659164,120
vime,263.44231083333335,326.48792911995685,120
xgboost,3.5001958333333336,2.287295679092657,120
