dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
MagicTelescope,rpl_lite_xgboost,50,0.1978108927864961,0.0,3,3000.0,0.0,3,9.7887,1.6206828406569864,3
MagicTelescope,rpl_lite_xgboost,100,0.1984652024345065,0.0,3,3000.0,0.0,3,10.195,0.9936149807646816,3
MagicTelescope,rpl_lite_xgboost,250,0.2004543632233061,0.0,3,3000.0,0.0,3,11.9602,0.6431930114670088,3
MagicTelescope,rpl_lite_xgboost,500,0.2038597444957869,0.0,3,3000.0,0.0,3,13.441899999999999,0.20917820154117397,3
MagicTelescope,rpl_lr,50,,,0,,,0,0.47413333333333335,0.10080160382321966,3
MagicTelescope,rpl_lr,100,,,0,,,0,0.5343666666666667,0.305726713476813,3
MagicTelescope,rpl_lr,250,,,0,,,0,0.6191,0.31786794427875237,3
MagicTelescope,rpl_lr,500,,,0,,,0,0.47536666666666666,0.08330944324224795,3
MagicTelescope,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,0.8126000000000001,0.0938281407681086,3
MagicTelescope,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,1.1750999999999998,0.17073570218322828,3
MagicTelescope,self_training_catboost,250,0.0,0.0,3,0.0,0.0,3,1.8451666666666666,0.31016725058157474,3
MagicTelescope,self_training_catboost,500,0.0,0.0,3,0.0,0.0,3,2.311733333333333,0.25281131963053655,3
MagicTelescope,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,0.45626666666666665,0.22766159828423707,3
MagicTelescope,self_training_lightgbm,100,0.1984652024345065,0.0,3,3000.0,0.0,3,9.775566666666668,0.5362101205062552,3
MagicTelescope,self_training_lightgbm,250,0.2004543632233061,0.0,3,3000.0,0.0,3,10.908133333333334,1.4384430657253455,3
MagicTelescope,self_training_lightgbm,500,0.2038597444957869,0.0,3,3000.0,0.0,3,15.354933333333335,0.7362495251837754,3
MagicTelescope,self_training_lr,50,0.32315706184887244,0.009913157147844295,3,4901.0,150.34294130420622,3,0.5751333333333334,0.15864943533884174,3
MagicTelescope,self_training_lr,100,0.30067478168827727,0.05213569181290285,3,4545.0,788.0831174438391,3,0.4865,0.06308502199413107,3
MagicTelescope,self_training_lr,250,0.3141342598779455,0.029348777401113295,3,4701.333333333333,439.2338025850622,3,0.4626333333333333,0.07118850562649372,3
MagicTelescope,self_training_lr,500,0.2912929238017577,0.009982962017654022,3,4286.666666666667,146.90926905179708,3,0.5363,0.07750270963005099,3
MagicTelescope,self_training_xgboost,50,0.1935909270737175,0.007309195020731157,3,2936.0,110.85125168440814,3,3.2682333333333333,2.1306809811263006,3
MagicTelescope,self_training_xgboost,100,0.1984652024345065,0.0,3,3000.0,0.0,3,4.3197,1.6739642051131203,3
MagicTelescope,self_training_xgboost,250,0.2004543632233061,0.0,3,3000.0,0.0,3,6.800533333333333,1.3564177982219685,3
MagicTelescope,self_training_xgboost,500,0.2038597444957869,0.0,3,3000.0,0.0,3,7.286666666666666,0.49269877545345403,3
adult,rpl_lite_xgboost,50,0.0768777387694436,0.0,3,3000.0,0.0,3,20.056066666666666,0.5101309864469463,3
adult,rpl_lite_xgboost,100,0.0769763682549457,0.0,3,3000.0,0.0,3,20.61,1.3963021771808564,3
