dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
MagicTelescope,rpl_lite_xgboost,xgboost,50,0.0027976898373939982,0.009036456184101897,-0.0030627162668733408,0.008404965006314918,-0.01851038599290163,0.0105063121172134,8.054949354101977,0.1978108927864961,3,3,True,
MagicTelescope,rpl_lite_xgboost,xgboost,100,-0.009404735493897864,0.01198790240632891,-0.017555359979218383,0.01536053563210096,-0.011321132322354285,0.007857209158439068,6.1312992893916345,0.1984652024345065,3,3,True,
MagicTelescope,rpl_lite_xgboost,xgboost,250,0.0047246437953779585,0.010909509408963325,-0.0022798023940703294,0.010459119226570283,-0.0043151382973865005,0.007888224020360683,4.733670484121261,0.2004543632233061,3,3,True,
MagicTelescope,rpl_lite_xgboost,xgboost,500,0.003166532707300681,0.004472349992042073,-0.001973260248917271,0.003244272449392414,-8.279012103214652e-05,0.0028205575177544812,8.291264805231556,0.2038597444957869,3,3,True,
MagicTelescope,rpl_lr,logistic_regression,50,-0.01353716978410117,0.002244073763670824,-0.012590516590545664,0.002242886156438198,0.004619830188824133,0.009735807777688852,1.5879606190339974,,3,3,True,
MagicTelescope,rpl_lr,logistic_regression,100,-0.0018202713859157098,0.012623277303584455,0.0005194640582834772,0.012924621720380336,-0.0005429092256582871,0.0070352567496439755,2.025865285385409,,3,3,True,
MagicTelescope,rpl_lr,logistic_regression,250,-0.00048734538603937655,0.0049874156496758195,0.0009803850347747851,0.005672378046601513,0.0027383375541646013,0.0020321336978455337,2.6116421556694274,,3,3,True,
MagicTelescope,rpl_lr,logistic_regression,500,-0.0012189696160760377,0.003021851105180367,-0.0003233835469320286,0.0025255192730208264,0.0018527509758021015,0.001506571224285182,1.6659198058043059,,3,3,True,
MagicTelescope,self_training_catboost,catboost,50,0.0009365032604860731,0.001194783083460492,0.005356784082609904,0.007024705847076806,0.009304619557420865,0.0197094019537287,0.34240404553335063,0.0,3,3,True,
MagicTelescope,self_training_catboost,catboost,100,-0.0019166493913637488,0.011293781490478588,0.00297870993369335,0.00798603375735162,0.008036753762480106,0.008970027948025046,0.4947025235740008,0.0,3,3,True,
MagicTelescope,self_training_catboost,catboost,250,-0.01243882421257958,0.007358985842513052,-0.008801455030637376,0.004629372880953425,0.003795616396949845,0.0010505509447974505,0.41614369685746144,0.0,3,3,True,
MagicTelescope,self_training_catboost,catboost,500,-0.015458971458775062,0.0052735939506769304,-0.012674360881576622,0.004935270373270007,-0.00010092413778043745,0.002876856589985148,0.49839612893962765,0.0,3,3,True,
MagicTelescope,self_training_lightgbm,lightgbm,50,0.0,0.0,0.0,0.0,0.0,0.0,0.6821357612468272,0.0,3,3,True,
MagicTelescope,self_training_lightgbm,lightgbm,100,0.011157117970315563,0.005261224394266434,0.0061412708157743134,0.008458853821060838,0.010284058512157931,0.007663236589386939,8.832678927561437,0.1984652024345065,3,3,True,
MagicTelescope,self_training_lightgbm,lightgbm,250,0.00856945944668123,0.004079994182084545,0.005499792544625293,0.003647978897218985,0.007834753949174692,0.006685358439421573,5.4432325335020195,0.2004543632233061,3,3,True,
MagicTelescope,self_training_lightgbm,lightgbm,500,0.005540219935820767,0.006708990571483622,0.0030117544579142397,0.005941870835336731,0.0033362549810456166,0.004079770324693175,5.474720141578427,0.2038597444957869,3,3,True,
MagicTelescope,self_training_lr,logistic_regression,50,0.021934482353126634,0.01054298975643936,0.010663130285180141,0.00795185556585571,-0.01007377463549112,0.011372001154367704,2.01450983241714,0.32315706184887244,3,3,True,
MagicTelescope,self_training_lr,logistic_regression,100,-0.0039790780928550635,0.019666150682584673,-0.01696817110567117,0.02361364601458152,-0.02150426669673174,0.02362419772966072,1.8731035533370346,0.30067478168827727,3,3,True,
MagicTelescope,self_training_lr,logistic_regression,250,0.007552944257143775,0.0031606637091175552,-0.0032718855107563374,0.004355327044280459,-0.008142527108081943,0.004009877480171623,2.046131212269331,0.3141342598779455,3,3,True,
MagicTelescope,self_training_lr,logistic_regression,500,0.0069201226364659085,0.0048634827957024784,-0.00029707537921297433,0.0057121529445569915,-0.005593662247017776,0.003492588730075328,1.9797675954617595,0.2912929238017577,3,3,True,
MagicTelescope,self_training_xgboost,xgboost,50,0.0009849953386990018,0.005425307190431619,-0.004032726466786614,0.00164124218666633,-0.020846845448876977,0.010809394956484416,2.4927776004915496,0.1935909270737175,3,3,True,
MagicTelescope,self_training_xgboost,xgboost,100,-0.011179242481000218,0.017329916947059276,-0.019869596729472343,0.02084130275490539,-0.01152959774608812,0.009544556831085967,2.412304271809189,0.1984652024345065,3,3,True,
MagicTelescope,self_training_xgboost,xgboost,250,0.00461856737428723,0.012522664171817287,-0.002902284262284449,0.012675870040245237,-0.004052624411477838,0.008408108565128086,2.661732516388961,0.2004543632233061,3,3,True,
MagicTelescope,self_training_xgboost,xgboost,500,0.0006222139785689492,0.007408950868171998,-0.004516778057257624,0.005892684695614133,-0.0007222794024644245,0.0038468828951305463,4.553541451686587,0.2038597444957869,3,3,True,
adult,rpl_lite_xgboost,xgboost,50,0.04268027376433092,0.014019796411455844,0.02872287387540377,0.019553915152645134,0.016846164256833385,0.005705928625902256,12.990003396351755,0.0768777387694436,3,3,True,
adult,rpl_lite_xgboost,xgboost,100,0.00814355486500895,0.00204935414546518,-0.006787675483107695,0.006168956627383365,-0.008215330110296811,0.007222504960448357,11.540658180787085,0.0769763682549457,3,3,True,
adult,rpl_lite_xgboost,xgboost,250,0.015042967106139912,0.009313653627699078,0.005629154838011852,0.005493541304236838,-0.00086649278677009,0.004360197084829178,9.643215803886031,0.0772737810061046,3,3,True,
adult,rpl_lite_xgboost,xgboost,500,0.024063701422347112,0.010527368059851024,0.015655387014425298,0.010109079770343305,0.003978125222918516,0.0039271244035240585,8.244634651596781,0.0777746091825888,3,3,True,
