backbone,checkpoint,checkpoint_hash,checkpoint_ids,code_version,cold_model_load_seconds,cuda_version,dataset,device,dirty_tree,embedding_source,ensemble_count,env_lock_hash,env_name,env_name_required,environment,error_message,git_commit,gpu_name,hostname,input_view,kv_cache,method,method_config,method_config_hash,method_family,method_fidelity,metric_accuracy,metric_average_precision,metric_balanced_accuracy,metric_brier,metric_ece,metric_log_loss,metric_macro_f1,metric_nll,metric_roc_auc,n_labeled,native_preprocessing,needs_external_validation,offloading_mode,package_version,peak_gpu_mem_mb,protocol,reference_paper,run_id,runtime_seconds,seed,slurm_array_task_id,slurm_job_id,source_tree_hash,split_protocol_version,status,supports_predict_proba,timestamp_utc,training_meta,upstream_commit,uses_unlabeled_data,warm_inference_seconds
,,,,nogit:a88213f4b76d3774,,12.4,jannis,gpu,False,,,3f9236be15390304,,ssl-representation,"{'cuda_available': True, 'cuda_version': '12.4', 'env_name': None, 'env_prefix': '/private/ofirlin-lab/suissad4/envs/micromamba', 'gpu_count': 1, 'gpu_name': 'NVIDIA A100 80GB PCIe', 'hostname': 'dsiuriofir01', 'packages': {'catboost': '1.2.10', 'lightgbm': '4.7.0', 'numpy': '2.4.6', 'pandas': '3.0.3', 'scikit-learn': '1.9.0', 'tabicl': '2.1.1', 'tabpfn': '8.1.0', 'torch': '2.6.0+cu124', 'xgboost': None}, 'platform': 'Linux-5.14.0-687.15.1.el9_8.x86_64-x86_64-with-glibc2.34', 'python': '3.11.15 | packaged by conda-forge | (main, Jun 11 2026, 03:34:02) [GCC 14.3.0]', 'python_version': '3.11.15', 'torch_available': True, 'torch_version': '2.6.0+cu124'}",,,NVIDIA A100 80GB PCIe,dsiuriofir01,processed,,geometric_attention_ssl,{'max_epochs': 20},f91f182ea85952e6,geometric_ssl,novel_experimental,0.557472980235266,,0.34697547818801344,0.5468112627001145,0.06316503719630576,0.9744130261138262,0.32865118687667794,0.9744130261138262,0.7306899469738428,250,,True,,,,inductive,Combined geometric-attention SSL,jannis__geometric_attention_ssl__s0__n250__ff84b0d462bba2eb,16.3616,0,3,18894597,209ec7c85d4342ab6cdc2ad16fd6a5241dcf10f0855f062fc7acb7a054afb4af,v1_absolute_budget,success,True,2026-07-29T08:56:49.484765+00:00,"{'all_classes_present_in_labeled': True, 'best_epoch': 20, 'best_val_loss': 0.995870053768158, 'dataset': 'jannis', 'dataset_id': 41168, 'epochs_trained': 20, 'error_message': None, 'final_train_loss': nan, 'finetune_epochs_trained': nan, 'graph_n_neighbors_used': nan, 'graph_n_rows': nan, 'graph_n_unlabeled_used': nan, 'graph_retry_count': nan, 'input_view': 'processed', 'labeled_class_counts': '{0:10,1:84,2:45,3:111}', 'labeled_classes_present': 4, 'max_labeled_per_class': 111, 'max_selected_confidence': nan, 'mean_selected_confidence': nan, 'mean_selected_density': nan, 'method': 'geometric_attention_ssl', 'method_diagnostics': {'attention_entropy': 2.03875470161438, 'attention_k': 8, 'attention_memory': 'labeled_plus_unlabeled', 'best_epoch': 20, 'best_val_loss': 0.995870053768158, 'collapse_diagnostics': {'constant_prediction_suspect': False, 'effective_embedding_rank': 32, 'embedding_variance_mean': 0.044899970293045044, 'max_pred_class_fraction': 0.5660929843432533, 'pred_class_fraction': [0.0, 0.4117216445559938, 0.022185371100752957, 0.5660929843432533], 'representation_collapse_suspect': False}, 'component_flags': {'use_consistency': True, 'use_laplacian': True, 'use_margin': True, 'use_prototype': True, 'use_pseudo': True, 'use_retrieval': True}, 'epochs_trained': 20, 'graph_affinity_mean': 0.4097913866056655, 'graph_affinity_std': 0.03183514133404377, 'graph_backend': 'sklearn', 'graph_build_time_seconds': 6.55702717602253, 'graph_k': 10, 'graph_metric': 'euclidean', 'graph_mutual': True, 'graph_n_connected_components': 11733, 'graph_n_edges': 104045, 'graph_n_isolated_nodes': 10332, 'graph_n_nodes': 66936, 'labeled_attention_mass': 0.0013078800402581692, 'loss_components': {'consistency': 0.0033342003007419407, 'gradient_norm': 0.6096975924688597, 'lap': 0.02367490343749523, 'margin': 0.1550549566745758, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9181548953056335, 'weighted_consistency': 0.0003334200300741941, 'weighted_lap': 0.007102471031248569, 'weighted_margin': 0.015505495667457582, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, 'loss_history_tail': [{'consistency': 0.0019578940991777927, 'gradient_norm': 0.842430606269865, 'lap': 0.012355988379567862, 'margin': 0.23778726905584335, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.084231197834015, 'weighted_consistency': 0.00019578940991777928, 'weighted_lap': 0.003706796513870358, 'weighted_margin': 0.023778726905584337, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0013778461725451052, 'gradient_norm': 0.683689736429081, 'lap': 0.014245275175198913, 'margin': 0.23480753973126411, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9788554459810257, 'weighted_consistency': 0.00013778461725451053, 'weighted_lap': 0.004273582552559674, 'weighted_margin': 0.023480753973126413, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0021632919379044324, 'gradient_norm': 0.806354459055338, 'lap': 0.01662405440583825, 'margin': 0.21656204760074615, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9953033328056335, 'weighted_consistency': 0.00021632919379044324, 'weighted_lap': 0.004987216321751475, 'weighted_margin': 0.021656204760074616, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.002679966390132904, 'gradient_norm': 0.8460321438163337, 'lap': 0.019871958065778017, 'margin': 0.1864260397851467, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9754182994365692, 'weighted_consistency': 0.0002679966390132904, 'weighted_lap': 0.005961587419733405, 'weighted_margin': 0.018642603978514673, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0033342003007419407, 'gradient_norm': 0.6096975924688597, 'lap': 0.02367490343749523, 'margin': 0.1550549566745758, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9181548953056335, 'weighted_consistency': 0.0003334200300741941, 'weighted_lap': 0.007102471031248569, 'weighted_margin': 0.015505495667457582, 'weighted_pl': 0.0, 'weighted_proto': 0.0}], 'method': 'geometric_attention_ssl', 'method_fidelity': 'reimplementation', 'n_labeled': 200, 'n_unlabeled': 66736, 'neural_validation_strategy': 'external_val', 'no_val_test_in_memory': True, 'protocol': 'inductive', 'reference_family': 'Geometric attention SSL', 'selected_retrieval_strength': 1.0, 'unlabeled_attention_mass': 0.997153714299202, 'uses_unlabeled_data': True}, 'method_fidelity': 'reimplementation', 'metric_accuracy': 0.557472980235266, 'metric_average_precision': None, 'metric_balanced_accuracy': 0.34697547818801344, 'metric_brier': 0.5468112627001145, 'metric_ece': 0.06316503719630576, 'metric_log_loss': 0.9744130261138262, 'metric_macro_f1': 0.32865118687667794, 'metric_nll': 0.9744130261138262, 'metric_roc_auc': 0.7306899469738428, 'min_labeled_per_class': 10, 'min_selected_confidence': nan, 'n_classes': 4, 'n_features_after_preprocessing': 54, 'n_features_before_preprocessing': 54, 'n_labeled': 250, 'n_pseudo_added_last_iter': nan, 'n_pseudo_added_total': nan, 'n_unlabeled': 66736, 'neural_method': nan, 'neural_validation_strategy': 'external_val', 'pretrain_epochs_trained': nan, 'protocol': 'inductive', 'pseudo_label_class_distribution': nan, 'pseudo_label_fraction': nan, 'reference_family': 'Geometric attention SSL', 'runtime_seconds': 16.3616, 'seed': 0, 'self_training_iterations': nan, 'status': 'success', 'stopped_reason': nan, 'test_class_counts': '{0:337,1:5758,2:2947,3:7705}', 'test_size': 16747, 'timestamp_utc': '2026-07-29T08:56:33.103425+00:00', 'train_labeled_size': 200, 'train_pool_class_counts': '{0:1350,1:23032,2:11787,3:30817}', 'unlabeled_class_counts': '{0:1340,1:22948,2:11742,3:30706}', 'val_class_counts': '{0:2,1:17,2:9,3:22}', 'val_size': 50, 'validation_strategy': 'stratified_labeled_val'}",,True,
,,,,nogit:a88213f4b76d3774,,12.4,jannis,gpu,False,,,3f9236be15390304,,ssl-representation,"{'cuda_available': True, 'cuda_version': '12.4', 'env_name': None, 'env_prefix': '/private/ofirlin-lab/suissad4/envs/micromamba', 'gpu_count': 1, 'gpu_name': 'NVIDIA A100 80GB PCIe', 'hostname': 'dsiuriofir01', 'packages': {'catboost': '1.2.10', 'lightgbm': '4.7.0', 'numpy': '2.4.6', 'pandas': '3.0.3', 'scikit-learn': '1.9.0', 'tabicl': '2.1.1', 'tabpfn': '8.1.0', 'torch': '2.6.0+cu124', 'xgboost': None}, 'platform': 'Linux-5.14.0-687.15.1.el9_8.x86_64-x86_64-with-glibc2.34', 'python': '3.11.15 | packaged by conda-forge | (main, Jun 11 2026, 03:34:02) [GCC 14.3.0]', 'python_version': '3.11.15', 'torch_available': True, 'torch_version': '2.6.0+cu124'}",,,NVIDIA A100 80GB PCIe,dsiuriofir01,processed,,geometric_attention_ssl,{'max_epochs': 20},f91f182ea85952e6,geometric_ssl,novel_experimental,0.5195557413268048,,0.31682169930209114,0.6154548730076094,0.10661022769817576,1.0904246029083622,0.2827854620994077,1.0904246029083622,0.6381380781358705,50,,True,,,,inductive,Combined geometric-attention SSL,jannis__geometric_attention_ssl__s0__n50__58d420ef508fec65,14.0112,0,2,18894642,209ec7c85d4342ab6cdc2ad16fd6a5241dcf10f0855f062fc7acb7a054afb4af,v1_absolute_budget,success,True,2026-07-29T08:56:37.084378+00:00,"{'all_classes_present_in_labeled': True, 'best_epoch': 19, 'best_val_loss': 1.1759812831878662, 'dataset': 'jannis', 'dataset_id': 41168, 'epochs_trained': 20, 'error_message': None, 'final_train_loss': nan, 'finetune_epochs_trained': nan, 'graph_n_neighbors_used': nan, 'graph_n_rows': nan, 'graph_n_unlabeled_used': nan, 'graph_retry_count': nan, 'input_view': 'processed', 'labeled_class_counts': '{0:4,1:16,2:10,3:20}', 'labeled_classes_present': 4, 'max_labeled_per_class': 20, 'max_selected_confidence': nan, 'mean_selected_confidence': nan, 'mean_selected_density': nan, 'method': 'geometric_attention_ssl', 'method_diagnostics': {'attention_entropy': 2.0322110652923584, 'attention_k': 8, 'attention_memory': 'labeled_plus_unlabeled', 'best_epoch': 19, 'best_val_loss': 1.1759812831878662, 'collapse_diagnostics': {'constant_prediction_suspect': False, 'effective_embedding_rank': 32, 'embedding_variance_mean': 0.012310400605201721, 'max_pred_class_fraction': 0.5310409698996655, 'pred_class_fraction': [0.0, 0.46895903010033446, 0.0, 0.5310409698996655], 'representation_collapse_suspect': False}, 'component_flags': {'use_consistency': True, 'use_laplacian': True, 'use_margin': True, 'use_prototype': True, 'use_pseudo': True, 'use_retrieval': True}, 'epochs_trained': 20, 'graph_affinity_mean': 0.40977496837443467, 'graph_affinity_std': 0.031816999590853025, 'graph_backend': 'sklearn', 'graph_build_time_seconds': 6.537535617128015, 'graph_k': 10, 'graph_metric': 'euclidean', 'graph_mutual': True, 'graph_n_connected_components': 11740, 'graph_n_edges': 104152, 'graph_n_isolated_nodes': 10348, 'graph_n_nodes': 66976, 'labeled_attention_mass': 0.0, 'loss_components': {'consistency': 0.0007783695473335683, 'gradient_norm': 0.371943591194733, 'lap': 0.003543900093063712, 'margin': 0.49641770124435425, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.0858908891677856, 'weighted_consistency': 7.783695473335684e-05, 'weighted_lap': 0.0010631700279191136, 'weighted_margin': 0.04964177012443543, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, 'loss_history_tail': [{'consistency': 0.0004234027292113751, 'gradient_norm': 0.3068379450241298, 'lap': 0.0018787633161991835, 'margin': 0.6073576807975769, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.1390807628631592, 'weighted_consistency': 4.234027292113752e-05, 'weighted_lap': 0.0005636289948597551, 'weighted_margin': 0.060735768079757696, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0003841769939754158, 'gradient_norm': 0.3272118083513533, 'lap': 0.002147129038348794, 'margin': 0.5827440619468689, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.1406075954437256, 'weighted_consistency': 3.8417699397541585e-05, 'weighted_lap': 0.0006441387115046381, 'weighted_margin': 0.05827440619468689, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0007276505348272622, 'gradient_norm': 0.3453049755294335, 'lap': 0.002540666377171874, 'margin': 0.5565046668052673, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.1267855167388916, 'weighted_consistency': 7.276505348272622e-05, 'weighted_lap': 0.0007621999131515621, 'weighted_margin': 0.055650466680526735, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0008539464324712753, 'gradient_norm': 0.35137253903563664, 'lap': 0.002976993564516306, 'margin': 0.5280029773712158, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.1015183925628662, 'weighted_consistency': 8.539464324712754e-05, 'weighted_lap': 0.0008930980693548918, 'weighted_margin': 0.05280029773712158, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0007783695473335683, 'gradient_norm': 0.371943591194733, 'lap': 0.003543900093063712, 'margin': 0.49641770124435425, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.0858908891677856, 'weighted_consistency': 7.783695473335684e-05, 'weighted_lap': 0.0010631700279191136, 'weighted_margin': 0.04964177012443543, 'weighted_pl': 0.0, 'weighted_proto': 0.0}], 'method': 'geometric_attention_ssl', 'method_fidelity': 'reimplementation', 'n_labeled': 40, 'n_unlabeled': 66936, 'neural_validation_strategy': 'external_val', 'no_val_test_in_memory': True, 'protocol': 'inductive', 'reference_family': 'Geometric attention SSL', 'selected_retrieval_strength': 1.0, 'unlabeled_attention_mass': 0.9948176741600037, 'uses_unlabeled_data': True}, 'method_fidelity': 'reimplementation', 'metric_accuracy': 0.5195557413268048, 'metric_average_precision': None, 'metric_balanced_accuracy': 0.31682169930209114, 'metric_brier': 0.6154548730076094, 'metric_ece': 0.10661022769817576, 'metric_log_loss': 1.0904246029083622, 'metric_macro_f1': 0.2827854620994077, 'metric_nll': 1.0904246029083622, 'metric_roc_auc': 0.6381380781358705, 'min_labeled_per_class': 4, 'min_selected_confidence': nan, 'n_classes': 4, 'n_features_after_preprocessing': 54, 'n_features_before_preprocessing': 54, 'n_labeled': 50, 'n_pseudo_added_last_iter': nan, 'n_pseudo_added_total': nan, 'n_unlabeled': 66936, 'neural_method': nan, 'neural_validation_strategy': 'external_val', 'pretrain_epochs_trained': nan, 'protocol': 'inductive', 'pseudo_label_class_distribution': nan, 'pseudo_label_fraction': nan, 'reference_family': 'Geometric attention SSL', 'runtime_seconds': 14.0112, 'seed': 0, 'self_training_iterations': nan, 'status': 'success', 'stopped_reason': nan, 'test_class_counts': '{0:337,1:5758,2:2947,3:7705}', 'test_size': 16747, 'timestamp_utc': '2026-07-29T08:56:23.049815+00:00', 'train_labeled_size': 40, 'train_pool_class_counts': '{0:1350,1:23032,2:11787,3:30817}', 'unlabeled_class_counts': '{0:1346,1:23016,2:11777,3:30797}', 'val_class_counts': '{0:1,1:3,2:2,3:4}', 'val_size': 10, 'validation_strategy': 'stratified_labeled_val'}",,True,
,,,,nogit:a88213f4b76d3774,,12.4,segment,gpu,False,,,3f9236be15390304,,ssl-representation,"{'cuda_available': True, 'cuda_version': '12.4', 'env_name': None, 'env_prefix': '/private/ofirlin-lab/suissad4/envs/micromamba', 'gpu_count': 1, 'gpu_name': 'NVIDIA A100 80GB PCIe', 'hostname': 'dsiuriofir01', 'packages': {'catboost': '1.2.10', 'lightgbm': '4.7.0', 'numpy': '2.4.6', 'pandas': '3.0.3', 'scikit-learn': '1.9.0', 'tabicl': '2.1.1', 'tabpfn': '8.1.0', 'torch': '2.6.0+cu124', 'xgboost': None}, 'platform': 'Linux-5.14.0-687.15.1.el9_8.x86_64-x86_64-with-glibc2.34', 'python': '3.11.15 | packaged by conda-forge | (main, Jun 11 2026, 03:34:02) [GCC 14.3.0]', 'python_version': '3.11.15', 'torch_available': True, 'torch_version': '2.6.0+cu124'}",,,NVIDIA A100 80GB PCIe,dsiuriofir01,processed,,geometric_attention_ssl,{'max_epochs': 20},f91f182ea85952e6,geometric_ssl,novel_experimental,0.7359307359307359,,0.7359307359307359,0.4793928889914884,0.26031627255008777,1.011721789970212,0.6771363093201744,1.011721789970212,0.9470352879443789,250,,True,,,,inductive,Combined geometric-attention SSL,segment__geometric_attention_ssl__s0__n250__d26937ae4f3dfb84,6.865,0,1,18894641,209ec7c85d4342ab6cdc2ad16fd6a5241dcf10f0855f062fc7acb7a054afb4af,v1_absolute_budget,success,True,2026-07-29T08:56:18.840773+00:00,"{'all_classes_present_in_labeled': True, 'best_epoch': 20, 'best_val_loss': 0.9558519721031189, 'dataset': 'segment', 'dataset_id': 36, 'epochs_trained': 20, 'error_message': None, 'final_train_loss': nan, 'finetune_epochs_trained': nan, 'graph_n_neighbors_used': nan, 'graph_n_rows': nan, 'graph_n_unlabeled_used': nan, 'graph_retry_count': nan, 'input_view': 'processed', 'labeled_class_counts': '{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}', 'labeled_classes_present': 7, 'max_labeled_per_class': 36, 'max_selected_confidence': nan, 'mean_selected_confidence': nan, 'mean_selected_density': nan, 'method': 'geometric_attention_ssl', 'method_diagnostics': {'attention_entropy': 1.857655644416809, 'attention_k': 8, 'attention_memory': 'labeled_plus_unlabeled', 'best_epoch': 20, 'best_val_loss': 0.9558519721031189, 'collapse_diagnostics': {'constant_prediction_suspect': False, 'effective_embedding_rank': 32, 'embedding_variance_mean': 0.2780514359474182, 'max_pred_class_fraction': 0.24582869855394884, 'pred_class_fraction': [0.18298109010011124, 0.05005561735261402, 0.24582869855394884, 0.1635150166852058, 0.1596218020022247, 0.18020022246941045, 0.017797552836484983], 'representation_collapse_suspect': False}, 'component_flags': {'use_consistency': True, 'use_laplacian': True, 'use_margin': True, 'use_prototype': True, 'use_pseudo': True, 'use_retrieval': True}, 'epochs_trained': 20, 'graph_affinity_mean': 0.5907511377147987, 'graph_affinity_std': 0.1605565976430233, 'graph_backend': 'sklearn', 'graph_build_time_seconds': 0.0729913879185915, 'graph_k': 10, 'graph_metric': 'euclidean', 'graph_mutual': True, 'graph_n_connected_components': 39, 'graph_n_edges': 6138, 'graph_n_isolated_nodes': 18, 'graph_n_nodes': 1798, 'labeled_attention_mass': 0.21693118289113045, 'loss_components': {'consistency': 0.0053529037977568805, 'gradient_norm': 3.018682034707313, 'lap': 0.012241944903507829, 'margin': 0.0034028763766400516, 'pl': 0.11831458285450935, 'proto': 1.1558751463890076, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9292690604925156, 'weighted_consistency': 0.0005352903797756881, 'weighted_lap': 0.0036725834710523483, 'weighted_margin': 0.0003402876376640052, 'weighted_pl': 0.0354943748563528, 'weighted_proto': 0.34676254391670225}, 'loss_history_tail': [{'consistency': 0.005439777160063386, 'gradient_norm': 0.8288201518967013, 'lap': 0.010499517899006605, 'margin': 0.01092663872987032, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.171694666147232, 'weighted_consistency': 0.0005439777160063386, 'weighted_lap': 0.0031498553697019813, 'weighted_margin': 0.001092663872987032, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.009546462795697153, 'gradient_norm': 75.75832845799482, 'lap': 0.010550073813647032, 'margin': 0.007669387268833816, 'pl': 0.12058221502229571, 'proto': 28.978952407836914, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9864218235015869, 'weighted_consistency': 0.0009546462795697153, 'weighted_lap': 0.0031650221440941094, 'weighted_margin': 0.0007669387268833816, 'weighted_pl': 0.036174664506688714, 'weighted_proto': 8.693685722351074}, {'consistency': 0.006523431511595845, 'gradient_norm': 0.7528315823648715, 'lap': 0.010690347524359822, 'margin': 0.007306181942112744, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.0379504412412643, 'weighted_consistency': 0.0006523431511595845, 'weighted_lap': 0.0032071042573079468, 'weighted_margin': 0.0007306181942112744, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0075950108002871275, 'gradient_norm': 0.7324611183660703, 'lap': 0.011389471124857664, 'margin': 0.006166831823065877, 'pl': 0.0, 'proto': 0.0, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 1.0325784087181091, 'weighted_consistency': 0.0007595010800287128, 'weighted_lap': 0.003416841337457299, 'weighted_margin': 0.0006166831823065877, 'weighted_pl': 0.0, 'weighted_proto': 0.0}, {'consistency': 0.0053529037977568805, 'gradient_norm': 3.018682034707313, 'lap': 0.012241944903507829, 'margin': 0.0034028763766400516, 'pl': 0.11831458285450935, 'proto': 1.1558751463890076, 'ramp': 1.0, 'retrieval_strength': 1.0, 'sup': 0.9292690604925156, 'weighted_consistency': 0.0005352903797756881, 'weighted_lap': 0.0036725834710523483, 'weighted_margin': 0.0003402876376640052, 'weighted_pl': 0.0354943748563528, 'weighted_proto': 0.34676254391670225}], 'method': 'geometric_attention_ssl', 'method_fidelity': 'reimplementation', 'n_labeled': 200, 'n_unlabeled': 1598, 'neural_validation_strategy': 'external_val', 'no_val_test_in_memory': True, 'protocol': 'inductive', 'reference_family': 'Geometric attention SSL', 'selected_retrieval_strength': 1.0, 'unlabeled_attention_mass': 0.7701644897460938, 'uses_unlabeled_data': True}, 'method_fidelity': 'reimplementation', 'metric_accuracy': 0.7359307359307359, 'metric_average_precision': None, 'metric_balanced_accuracy': 0.7359307359307359, 'metric_brier': 0.4793928889914884, 'metric_ece': 0.26031627255008777, 'metric_log_loss': 1.011721789970212, 'metric_macro_f1': 0.6771363093201744, 'metric_nll': 1.011721789970212, 'metric_roc_auc': 0.9470352879443789, 'min_labeled_per_class': 35, 'min_selected_confidence': nan, 'n_classes': 7, 'n_features_after_preprocessing': 19, 'n_features_before_preprocessing': 19, 'n_labeled': 250, 'n_pseudo_added_last_iter': nan, 'n_pseudo_added_total': nan, 'n_unlabeled': 1598, 'neural_method': nan, 'neural_validation_strategy': 'external_val', 'pretrain_epochs_trained': nan, 'protocol': 'inductive', 'pseudo_label_class_distribution': nan, 'pseudo_label_fraction': nan, 'reference_family': 'Geometric attention SSL', 'runtime_seconds': 6.865, 'seed': 0, 'self_training_iterations': nan, 'status': 'success', 'stopped_reason': nan, 'test_class_counts': '{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}', 'test_size': 462, 'timestamp_utc': '2026-07-29T08:56:11.954506+00:00', 'train_labeled_size': 200, 'train_pool_class_counts': '{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}', 'unlabeled_class_counts': '{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}', 'val_class_counts': '{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}', 'val_size': 50, 'validation_strategy': 'stratified_labeled_val'}",,True,
