timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-29T09:23:22.350015+00:00,phoneme,1489,catboost,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,10.6209,success,,0.7696577243293247,0.6515516871190976,0.6671011834604934,0.6975903983388685,0.793627264769518,0.607332611866867
2026-06-29T09:23:32.981433+00:00,phoneme,1489,catboost,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,1.3437,success,,0.755781683626272,0.6611145060861809,0.6733660519713589,0.7324582456642603,0.825495069945662,0.5882385878974816
2026-06-29T09:23:34.331459+00:00,phoneme,1489,catboost,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,3.2427,success,,0.7927844588344126,0.7408170512164104,0.7452381553586007,0.5343746150470556,0.869733430227757,0.6717264378115148
2026-06-29T09:23:37.599648+00:00,phoneme,1489,catboost,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,3.7327,success,,0.8251618871415356,0.7701826680099757,0.7804113639368154,0.4042372229105427,0.8949782813351611,0.7635521643965519
2026-06-29T09:23:41.338999+00:00,phoneme,1489,mlp,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,0.1706,success,,0.7067530064754857,0.5,0.4140921409214092,0.6253673434257507,0.7114803375889804,0.4781134256532181
2026-06-29T09:23:41.516436+00:00,phoneme,1489,mlp,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,0.2219,success,,0.7132284921369103,0.5590285232959519,0.5484617706345869,0.5224124789237976,0.798937189290964,0.561507673054279
2026-06-29T09:23:41.745564+00:00,phoneme,1489,mlp,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,0.2139,success,,0.7224791859389454,0.5572674946735594,0.5398694665153234,0.5253142714500427,0.8022280212066659,0.5870010079356894
2026-06-29T09:23:41.966966+00:00,phoneme,1489,mlp,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,0.5655,success,,0.7687326549491211,0.7044217715163427,0.7110466260082628,0.4652813374996185,0.8163637339587428,0.5863552115899504
2026-06-29T09:23:42.544157+00:00,phoneme,1489,label_spreading,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,30.0,2.0,4313.0,4273.0,stratified_labeled_val,2,True,15,35,4.108,success,,0.7206290471785384,0.6196343336581498,0.6272754258574234,1.0694937164879854,0.7321997786843278,0.4988781288373849
2026-06-29T09:23:46.685100+00:00,phoneme,1489,label_spreading,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,15.0,1.0,4303.0,4223.0,stratified_labeled_val,2,True,30,70,2.9087,success,,0.7261794634597595,0.6558603233851388,0.6599733059024561,1.2120790406453843,0.7824252233801839,0.5336475332282942
2026-06-29T09:23:49.607134+00:00,phoneme,1489,label_spreading,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,15.0,1.0,4273.0,4073.0,stratified_labeled_val,2,True,74,176,2.6294,success,,0.782608695652174,0.7225440566832377,0.7292202511082853,0.7404221464751042,0.8478702495581945,0.6347861768196392
2026-06-29T09:23:52.250132+00:00,phoneme,1489,label_spreading,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,15.0,1.0,4223.0,3823.0,stratified_labeled_val,2,True,147,353,2.1032,success,,0.7964847363552267,0.737897831436735,0.7457210308872713,0.509016085050379,0.8674707252217284,0.7115438501413902
2026-06-29T09:23:54.364500+00:00,phoneme,1489,label_propagation,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,15.0,1.0,4313.0,4273.0,stratified_labeled_val,2,True,15,35,4.2635,success,,0.7437557816836263,0.6018506284374122,0.6054645759136503,0.6564298097370243,0.7379308636266043,0.5348427862213693
2026-06-29T09:23:58.637345+00:00,phoneme,1489,label_propagation,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,15.0,1.0,4303.0,4223.0,stratified_labeled_val,2,True,30,70,3.2077,success,,0.7317298797409806,0.5951884486432029,0.5983122168235029,0.6063522169615828,0.7762358168034751,0.5420097225206013
2026-06-29T09:24:01.850153+00:00,phoneme,1489,label_propagation,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,15.0,1.0,4273.0,4073.0,stratified_labeled_val,2,True,74,176,3.7399,success,,0.7705827937095282,0.6965023039952434,0.706538111251226,0.5182568508310299,0.8327580226931145,0.6148117271962534
2026-06-29T09:24:05.603289+00:00,phoneme,1489,label_propagation,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,15.0,1.0,4223.0,3823.0,stratified_labeled_val,2,True,147,353,2.1703,success,,0.793709528214616,0.7211690917799396,0.7340484567257675,0.4305599892510285,0.8631847985862222,0.6943441195863734
2026-06-29T09:24:07.777850+00:00,phoneme,1489,self_training_lr,0,50,4273,40,10,1081,2,5,5,2116.0,506.0,5.0,"{0: 2136, 1: 20}",0.4952024338871987,0.9838168831482276,0.9501460790634156,0.9957894682884216,,max_iter,,,,,stratified_labeled_val,2,True,15,35,0.1979,success,,0.7187789084181314,0.5611095512577007,0.5492076730608841,0.9141955971717834,0.770157893867574,0.517856183146066
2026-06-29T09:24:07.981720+00:00,phoneme,1489,self_training_lr,0,100,4223,80,20,1081,2,5,5,2111.0,159.0,5.0,"{0: 2112, 1: 79}",0.4998816007577552,0.9740326806359356,0.9500470161437988,0.9969437718391418,,max_iter,,,,,stratified_labeled_val,2,True,30,70,0.1458,success,,0.7326549491211841,0.633679207888087,0.6428782906205668,0.7436176538467407,0.7960014534163542,0.5499290190983781
2026-06-29T09:24:08.132066+00:00,phoneme,1489,self_training_lr,0,250,4073,200,50,1081,2,5,5,1767.0,128.0,5.0,"{0: 1899, 1: 68}",0.4338325558556347,0.970067973283974,0.9500084519386292,0.9919138550758362,,max_iter,,,,,stratified_labeled_val,2,True,74,176,0.0783,success,,0.7317298797409806,0.6256420631905792,0.6347598542255031,0.5812085270881653,0.7992881563083225,0.5692267053061957
2026-06-29T09:24:08.214021+00:00,phoneme,1489,self_training_lr,0,500,3823,400,100,1081,2,5,5,1485.0,47.0,5.0,"{0: 1767, 1: 118}",0.388438399162961,0.9650666644276192,0.9500049948692322,0.9878822565078736,,max_iter,,,,,stratified_labeled_val,2,True,147,353,0.1207,success,,0.7243293246993524,0.6296348291409979,0.6375258799171842,0.5309350490570068,0.7869341172973063,0.5426038928546016
