timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision,best_epoch,best_val_loss,epochs_trained,final_train_loss,finetune_epochs_trained,neural_method,neural_validation_strategy,pretrain_epochs_trained,method_fidelity,reference_family,labeled_class_counts,test_class_counts,train_pool_class_counts,unlabeled_class_counts,val_class_counts
2026-06-29T11:17:17.081243+00:00,phoneme,1489,random_forest,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,2.3836,success,,0.7493061979648473,0.7054437048904157,0.7021829675060819,0.5958701960755367,0.77504665796819,0.5011878897296527,,,,,,,,,,,,,,,
2026-06-29T11:17:19.481880+00:00,phoneme,1489,random_forest,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,5.2946,success,,0.7604070305272895,0.6994545559647877,0.7039693289221455,0.5194030570360548,0.82210720597222,0.5666775744187537,,,,,,,,,,,,,,,
2026-06-29T11:17:24.787732+00:00,phoneme,1489,random_forest,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,2.5248,success,,0.8094357076780758,0.7350632566435992,0.7511977225395292,0.4384583724612332,0.8726526500074323,0.7025431833646796,,,,,,,,,,,,,,,
2026-06-29T11:17:27.323923+00:00,phoneme,1489,random_forest,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,2.1933,success,,0.8334875115633672,0.7899152724329859,0.7952806605560185,0.3900700672595734,0.9002448511074042,0.7701815284847341,,,,,,,,,,,,,,,
2026-06-29T11:17:29.530847+00:00,phoneme,1489,random_forest,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,2.2837,success,,0.7493061979648473,0.7063665416948817,0.7027016055783726,0.4570598247270948,0.8188824384362561,0.5663536966054947,,,,,,,,,,,,,,,
2026-06-29T11:17:31.826586+00:00,phoneme,1489,random_forest,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,2.2449,success,,0.7779833487511564,0.7155804581564735,0.7226047609679324,0.4458550564161789,0.8521603052174345,0.6662896428369796,,,,,,,,,,,,,,,
2026-06-29T11:17:34.081957+00:00,phoneme,1489,random_forest,2,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,2.2615,success,,0.7974098057354302,0.7579318545923002,0.7567409270682093,0.4682212238846611,0.8811646324343073,0.7383905291605405,,,,,,,,,,,,,,,
2026-06-29T11:17:36.352436+00:00,phoneme,1489,random_forest,2,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,2.2386,success,,0.8307123034227567,0.7879519216476456,0.7924784818492234,0.4047890987263338,0.9057839364460668,0.7693180577035343,,,,,,,,,,,,,,,
2026-06-29T11:17:38.601958+00:00,phoneme,1489,xgboost,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,1.8558,success,,0.7178538390379279,0.5752204898673758,0.5727333634847427,0.6989253759384155,0.7174364543247395,0.4894596274630001,,,,,,,,,,,,,,,
2026-06-29T11:17:40.473716+00:00,phoneme,1489,xgboost,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,1.698,success,,0.7400555041628122,0.6490660148314533,0.6586099663174031,0.6025485396385193,0.7993831238541959,0.5520599712647642,,,,,,,,,,,,,,,
