timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-28T15:35:46.846016+00:00,phoneme,1489,logistic_regression,0,50,4273,40,10,1081,2,5,5,,,,,0.1473,success,,0.7335800185013877,0.6241824533007416,0.633445420893498,0.5380721009161096,0.7682626719738385,0.49505739313190666
2026-06-28T15:35:47.000007+00:00,phoneme,1489,logistic_regression,0,100,4223,80,20,1081,2,5,5,,,,,0.082,success,,0.7372802960222017,0.6517168480684428,0.6601441766961573,0.5103869538432202,0.7847539927659504,0.5367729369420919
2026-06-28T15:35:47.089605+00:00,phoneme,1489,logistic_regression,0,250,4073,200,50,1081,2,5,5,,,,,0.0721,success,,0.7520814061054579,0.6751077675194477,0.6835701303694384,0.48722573545632497,0.7974011924620543,0.571205903396566
2026-06-28T15:35:47.165642+00:00,phoneme,1489,logistic_regression,0,500,3823,400,100,1081,2,5,5,,,,,0.0895,success,,0.7400555041628122,0.6518345252448511,0.6610101587251989,0.48633415598936736,0.8009108626356385,0.5638166155849629
2026-06-28T15:35:47.259816+00:00,phoneme,1489,logistic_regression,1,50,4273,40,10,1081,2,5,5,,,,,0.1005,success,,0.7752081406105458,0.7505305795497712,0.7395467403558138,0.5490910629797738,0.7947544882487986,0.5727381161740857
2026-06-28T15:35:47.366448+00:00,phoneme,1489,logistic_regression,1,100,4223,80,20,1081,2,5,5,,,,,0.0889,success,,0.7354301572617946,0.6448709267180868,0.6537646595052724,0.5078984531302702,0.7822063851223017,0.533045779586716
2026-06-28T15:35:47.460521+00:00,phoneme,1489,logistic_regression,1,250,4073,200,50,1081,2,5,5,,,,,0.0807,success,,0.7326549491211841,0.6613643120220655,0.6663141918125433,0.49421136665096305,0.7837630270698797,0.506639999458669
2026-06-28T15:35:47.544662+00:00,phoneme,1489,logistic_regression,1,500,3823,400,100,1081,2,5,5,,,,,0.0878,success,,0.7243293246993524,0.6360946867722596,0.6433907206177989,0.484054698592809,0.7887674038350372,0.5542611230303702
2026-06-28T15:35:47.639649+00:00,phoneme,1489,logistic_regression,2,50,4273,40,10,1081,2,5,5,,,,,0.0715,success,,0.7613320999074931,0.7056460270533635,0.7082778963223296,0.5143492896918381,0.8156101871273557,0.5814599816222445
2026-06-28T15:35:47.715741+00:00,phoneme,1489,logistic_regression,2,100,4223,80,20,1081,2,5,5,,,,,0.0807,success,,0.7604070305272895,0.7040687399871175,0.706864185225475,0.4940990030653211,0.8032355029976712,0.5381446610534054
2026-06-28T15:35:47.801692+00:00,phoneme,1489,logistic_regression,2,250,4073,200,50,1081,2,5,5,,,,,0.1042,success,,0.7446808510638298,0.6689493286207409,0.6762461586540965,0.4623741868706826,0.8149784464961104,0.5401440909680071
2026-06-28T15:35:47.912016+00:00,phoneme,1489,logistic_regression,2,500,3823,400,100,1081,2,5,5,,,,,0.0844,success,,0.7428307123034228,0.662103407270385,0.6703082351082597,0.4626864555825007,0.8166094108708937,0.5692196846884594
2026-06-28T15:35:48.001350+00:00,phoneme,1489,random_forest,0,50,4273,40,10,1081,2,5,5,,,,,1.2715,success,,0.7715078630897317,0.6777771813632385,0.6924793004836126,0.45019277647743905,0.8369840784844831,0.6098236379449598
2026-06-28T15:35:49.276880+00:00,phoneme,1489,random_forest,0,100,4223,80,20,1081,2,5,5,,,,,1.3431,success,,0.790009250693802,0.7047087386658298,0.7208710558435338,0.431926529810235,0.8496622458585893,0.6640401205067206
2026-06-28T15:35:50.624371+00:00,phoneme,1489,random_forest,0,250,4073,200,50,1081,2,5,5,,,,,1.0902,success,,0.7890841813135985,0.7345079029514262,0.7396611458509379,0.4307281963229383,0.8679166597849605,0.729610175021852
2026-06-28T15:35:51.717708+00:00,phoneme,1489,random_forest,0,500,3823,400,100,1081,2,5,5,,,,,1.0065,success,,0.8075855689176689,0.7429827241646985,0.7549500850080648,0.3787675749103828,0.8853143012866038,0.7253453029448512
2026-06-28T15:35:52.730829+00:00,phoneme,1489,random_forest,1,50,4273,40,10,1081,2,5,5,,,,,1.5057,success,,0.7733580018501388,0.7363019637636877,0.731689773423768,0.5105200005933149,0.8156845095545611,0.5786715429146919
2026-06-28T15:35:54.241960+00:00,phoneme,1489,random_forest,1,100,4223,80,20,1081,2,5,5,,,,,1.3194,success,,0.7789084181313598,0.6931639883066048,0.70754184094498,0.4974537845779073,0.8478124432259238,0.6719627195287838
