timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-30T11:19:30.006754+00:00,spambase,44,vime,0,50,3630,40,10,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,75,85,50,85,0.018264275044202805,0.0013386579230427742,internal_stratified_val,stratified_labeled_val,2,True,20,30,27.7879,success,,0.9098805646036916,0.9058917621967475,0.9056963625933716,0.4663500644099423,0.9616991024615658,0.9346670848193314
2026-06-30T11:19:57.802514+00:00,spambase,44,vime,0,100,3580,80,20,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,32,42,50,42,0.054380785673856735,0.03573352098464966,internal_stratified_val,stratified_labeled_val,2,True,40,60,28.7,success,,0.9142236699239956,0.9128454634319737,0.9106577355918883,0.3931258495577116,0.9566313180682682,0.9084246862395016
2026-06-30T11:20:26.509659+00:00,spambase,44,vime,0,250,3430,200,50,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,13,23,50,23,0.20181941986083984,0.1106300950050354,internal_stratified_val,stratified_labeled_val,2,True,99,151,22.868,success,,0.9261672095548317,0.9178885630498534,0.9219117823085823,0.23271854435843395,0.9690156698954353,0.9423600691175148
2026-06-30T11:20:49.385696+00:00,spambase,44,vime,0,500,3180,400,100,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,9,19,50,19,0.24837903678417206,0.11034906283020973,internal_stratified_val,stratified_labeled_val,2,True,197,303,24.696,success,,0.9174809989142236,0.910238751147842,0.9130008948990753,0.24557475977659662,0.9654561252801721,0.9364180004283336
2026-06-30T11:21:14.088017+00:00,spambase,44,vime,1,50,3630,40,10,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,39,49,50,49,0.05289292708039284,0.0018557291477918625,internal_stratified_val,stratified_labeled_val,2,True,20,30,25.7971,success,,0.8805646036916395,0.8682203264314701,0.8731265153184924,0.43239351378216967,0.943703901181907,0.926029827327302
2026-06-30T11:21:39.894411+00:00,spambase,44,vime,1,100,3580,80,20,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,3,13,50,13,0.5529701709747314,0.17622333765029907,internal_stratified_val,stratified_labeled_val,2,True,40,60,26.3934,success,,0.8469055374592834,0.8231138363103172,0.8332003930408647,0.4644691783578681,0.9072198031142313,0.8854106893880718
2026-06-30T11:22:06.296205+00:00,spambase,44,vime,1,250,3430,200,50,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,50,60,50,60,0.24922123551368713,0.012562038376927376,internal_stratified_val,stratified_labeled_val,2,True,99,151,32.9992,success,,0.9229098805646037,0.9176071566100892,0.9190141150331232,0.319479690711876,0.9596650769671298,0.9402675704342184
2026-06-30T11:22:39.302625+00:00,spambase,44,vime,1,500,3180,400,100,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,26,36,50,36,0.16665799915790558,0.08386287093162537,internal_stratified_val,stratified_labeled_val,2,True,197,303,30.9428,success,,0.9218241042345277,0.9099721555733286,0.9166725307866299,0.25179785173465785,0.9647896363438885,0.9436656870394727
2026-06-30T11:23:10.252519+00:00,spambase,44,vime,2,50,3630,40,10,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,21,31,50,31,0.253086119890213,0.03737352788448334,internal_stratified_val,stratified_labeled_val,2,True,20,30,41.9579,success,,0.8338762214983714,0.8109170887763263,0.8197298884321785,0.4014651308173385,0.9085922766274673,0.8539221549365019
2026-06-30T11:23:52.221563+00:00,spambase,44,vime,2,100,3580,80,20,921,2,57,57,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,24,34,50,34,0.06116203963756561,0.015740759670734406,internal_stratified_val,stratified_labeled_val,2,True,40,60,31.4853,success,,0.8631921824104235,0.842812287093812,0.8520259311020209,0.39392415276164333,0.9340768387689209,0.8794479614853016
