method,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
catboost,5.578738888888889,2.967868629579895,36
label_propagation,32.501109375,39.15608011155882,32
label_spreading,6.000435483870968,4.91348829899549,31
lightgbm,8.498830555555555,11.327896088476686,36
logistic_regression,0.43958055555555553,0.4103845512404498,36
mlp,0.9886277777777779,1.118906823290639,36
random_forest,3.1518083333333333,1.550193021046089,36
rpl_lite_xgboost,22.282458333333334,26.124739056899145,36
rpl_lr,1.0417305555555556,0.5396083584121487,36
scarf,82.55097222222223,80.6255290629839,36
self_training_catboost,9.205066666666667,5.799539329833509,36
self_training_lightgbm,74.85064444444444,120.64409087075315,36
self_training_lr,0.7142083333333333,0.8507664790814053,36
self_training_xgboost,34.240569444444446,44.474373618746974,36
sslae,35.78485833333333,37.499271633942634,36
vime_lite,69.46684166666667,36.48857322983947,36
xgboost,7.588241666666666,8.897068058134176,36
