method,mean,std,count
tabiclv2_self_training,0.7877057038644328,0.10256474851934005,96
tabpfn3_self_training,0.7860589002061377,0.10708075568859629,96
laplacian_ssl,0.6526115688122369,0.16766008266116825,96
