method,n_labeled,mean_balanced_accuracy,successful_runs,attempted_runs,display_name,family
label_propagation,250,0.6026516570865185,28,30,Label propagation,graph SSL
label_propagation,500,0.6453823636093116,30,30,Label propagation,graph SSL
geometric_attention_ssl,50,0.48173603066105686,30,30,Combined geometric + attention SSL,geometric SSL
geometric_attention_ssl,100,0.5566362068802901,30,30,Combined geometric + attention SSL,geometric SSL
geometric_attention_ssl,250,0.645168118899132,30,30,Combined geometric + attention SSL,geometric SSL
geometric_attention_ssl,500,0.7010964209010311,30,30,Combined geometric + attention SSL,geometric SSL
embedding_alignment_ssl,50,0.5598535176386348,30,30,Embedding alignment SSL,geometric SSL
embedding_alignment_ssl,100,0.5866411317532635,30,30,Embedding alignment SSL,geometric SSL
embedding_alignment_ssl,250,0.5861865051852758,30,30,Embedding alignment SSL,geometric SSL
embedding_alignment_ssl,500,0.5996346149697774,30,30,Embedding alignment SSL,geometric SSL
mlp,50,0.5106537434526,30,30,MLP,supervised
mlp,100,0.504777554410819,30,30,MLP,supervised
mlp,250,0.5857032800327532,30,30,MLP,supervised
mlp,500,0.6492015841634375,30,30,MLP,supervised
