method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
catboost,50,0.6354723720200719,0.2425166912585491,9,0.6042451100777373,0.22701315518956883,9,0.5967947253298578,0.24540165944754436,9,0.5967947253298578,0.24540165944754436,9,0.8431206570803306,0.05593064494047336,9,0.7164379817114478,0.18371595777394475,6,1.2464691596238038,0.9914895053773212,9,4.2835777777777775,2.086474608507001,9,,,0,,,0
catboost,100,0.7240581906194238,0.14416820814273495,9,0.6977215764413156,0.1372330173077694,9,0.7011083958891703,0.13840559370504948,9,0.7011083958891703,0.13840559370504948,9,0.8913945440370369,0.04653941408477096,9,0.7556992291521145,0.1786051824132888,6,1.0364008568950807,0.6644603113809522,9,5.1924,3.1151799257827792,9,,,0,,,0
catboost,250,0.7846642255671588,0.12699730819108582,9,0.7643242518542743,0.12250432516053282,9,0.7683581587327053,0.1235906449003819,9,0.7683581587327053,0.1235906449003819,9,0.9308111224194566,0.04082828292094957,9,0.8303402698879148,0.1391190552030693,6,0.7400165006098667,0.5610128116093979,9,6.016344444444445,3.0678365178538733,9,,,0,,,0
catboost,500,0.8334478572629886,0.09317851204273303,9,0.8157531868765793,0.09448171918620982,9,0.819282043356702,0.09392642893147957,9,0.819282043356702,0.09392642893147957,9,0.950294779490052,0.03754061784256088,9,0.8673205621689588,0.10770525859141201,6,0.5595934679204506,0.4109356593084726,9,6.822633333333333,3.324991603748797,9,,,0,,,0
label_propagation,50,0.4566394542090657,0.28771204387276994,6,0.4102497863106107,0.23986587603739312,6,0.3944595467893591,0.24884596087299804,6,0.3944595467893591,0.24884596087299804,6,0.7812960192775856,0.04025402805522942,6,0.5014569932283195,0.07986007644652508,3,2.2103860768149324,1.6899133411821923,6,42.49386666666667,49.73150519160532,6,,,0,,,0
label_propagation,100,0.5370812096474893,0.2264751530242885,8,0.47690100933405516,0.1821496770323304,8,0.4530925082334911,0.18478641097046358,8,0.4530925082334911,0.18478641097046358,8,0.850618796675905,0.03608641702021045,8,0.676273829545822,0.12855069750632492,5,1.455139725915377,0.9959071741526062,8,34.236937499999996,41.744349810857635,8,,,0,,,0
label_propagation,250,0.602911998241375,0.16341670936742933,9,0.5394513626507713,0.12180492352244411,9,0.522510459235567,0.12886721007020238,9,0.522510459235567,0.12886721007020238,9,0.8822443457340259,0.036169738018072224,9,0.7454104608733974,0.12840129429459804,6,1.1119215589923506,0.7485296200228008,9,29.617800000000003,38.30143716853194,9,,,0,,,0
label_propagation,500,0.659167871606084,0.14569967396095376,9,0.6111072707293882,0.11725907085841125,9,0.6149578557903358,0.11685784425692505,9,0.6149578557903358,0.11685784425692505,9,0.9123805575467914,0.03554239930756182,9,0.7925698001675379,0.09801518204649816,6,0.8765155924312613,0.603977422730507,9,27.17962222222222,35.83989865735455,9,,,0,,,0
label_spreading,50,0.5843826086956522,0.1926776414982956,5,0.5448330622614777,0.16004202244326293,5,0.5383982847218305,0.1611328337297044,5,0.5383982847218305,0.1611328337297044,5,0.7896388567881794,0.04657629375209075,5,0.49689012369991087,0.058617964843154576,3,2.764142281824976,2.3205151641900317,5,6.55728,5.5601697111688955,5,,,0,,,0
label_spreading,100,0.6682969556830497,0.13278797527032454,8,0.6381744529821884,0.11684195655402761,8,0.6407932270070008,0.11356177708553207,8,0.6407932270070008,0.11356177708553207,8,0.8598233373792123,0.04361774615773942,8,0.6685060744496869,0.15068858124592538,5,1.7116617917503936,1.0668513480336064,8,6.2317374999999995,5.665829060740865,8,,,0,,,0
