method,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
catboost,3.93438,2.746499576250619,30
lightgbm,4.790523333333334,6.8560821721166745,30
logistic_regression,0.1588,0.13236302484012513,30
mlp,0.23793999999999998,0.16090965466844195,30
random_forest,1.496655172413793,0.4846339882442999,29
rpl_lite_xgboost,61.36904333333334,101.61131463359126,30
rpl_lr,0.39870666666666665,0.4624678970653984,30
self_training_catboost,94.35190333333334,97.14080299427606,30
self_training_lightgbm,178.74903666666665,302.7053642742001,30
self_training_lr,1.4074666666666666,2.3015225774935693,30
self_training_xgboost,102.46053333333333,159.11221199477828,30
xgboost,3.334303333333333,3.4508044633782515,30
