method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
laplacian_ssl,50,0.7115426369390967,0.12314860784953131,24,0.5954884221984472,0.15470347502710935,24,0.572142137768262,0.17093386684200787,24,0.572142137768262,0.17093386684200787,24,0.8166101172794077,0.09400157467349288,24,0.6054311431062054,0.22014734660639454,15,0.819637522784916,0.4441595123762904,24,5.204679166666667,2.0194257558672826,24
laplacian_ssl,100,0.7259645560482854,0.1224247492957282,24,0.6092709116228133,0.16689759801334642,24,0.5822802110081496,0.1835766111254875,24,0.5822802110081496,0.1835766111254875,24,0.8398559072277724,0.08179184020557742,24,0.6462298314014242,0.18857193841118453,15,0.7720488859865989,0.43431331139647783,24,5.565670833333333,2.1462796313781762,24
laplacian_ssl,250,0.780356834157928,0.10881152939461172,24,0.677362548543718,0.17813636837282437,24,0.6676257155040216,0.1850585038994104,24,0.6676257155040216,0.1850585038994104,24,0.8833722133661649,0.06719078144327606,24,0.6955632820918467,0.17483447297106788,15,0.5727517349834103,0.2816398726999657,24,5.9272791666666675,2.8048931911741186,24
laplacian_ssl,500,0.8148369067933915,0.08593892956052082,24,0.7283243928839691,0.14352581872818293,24,0.7314620740246681,0.14025934348764144,24,0.7314620740246681,0.14025934348764144,24,0.9056134278317357,0.05742211045024637,24,0.7331094513446168,0.16363263663815342,15,0.4758942839431946,0.21495265836948618,24,7.931770833333334,4.515888693556406,24
tabiclv2_self_training,50,0.7753334468692031,0.10567758507590175,24,0.738337940568749,0.10575878865235733,24,0.7329049851393871,0.11229145009670322,24,0.7329049851393871,0.11229145009670322,24,0.864813789086614,0.09708873055740425,24,0.6585296702706206,0.23860146995612738,15,0.5577664162278282,0.2946514889944403,24,6.920966666666668,2.32552420526542,24
tabiclv2_self_training,100,0.8144503610052451,0.09299989324037151,24,0.7792060416852286,0.09503557621817911,24,0.7774976138242132,0.0951735364782657,24,0.7774976138242132,0.0951735364782657,24,0.8977535103804293,0.07220618299362568,24,0.7265640056009016,0.1937153855826452,15,0.4517106340480154,0.24346200138903956,24,7.475537500000001,2.6939882217573614,24
tabiclv2_self_training,250,0.8512405726209779,0.07520184530326553,24,0.8091612642507785,0.09689392518229255,24,0.8141868120046593,0.09073043711657022,24,0.8141868120046593,0.09073043711657022,24,0.9260202325464526,0.05290645612454682,24,0.7749751485582694,0.16525726188144949,15,0.3660731932484527,0.17306581136644986,24,7.402633333333333,2.6690754839158415,24
tabiclv2_self_training,500,0.866754378105031,0.06841451837564419,24,0.8241175689529753,0.09676134618484655,24,0.8317924475063353,0.08885065019991442,24,0.8317924475063353,0.08885065019991442,24,0.9388459329741304,0.04668920111934614,24,0.7973815694939955,0.15804228516693725,15,0.31913609220831535,0.15445510898960987,24,7.870316666666667,2.9721449694976427,24
tabpfn3_self_training,50,0.7893066942353785,0.09927386490520067,24,0.7385688669324745,0.11578821265731494,24,0.7346403016930413,0.12235382898146797,24,0.7346403016930413,0.12235382898146797,24,0.8686690763138246,0.09502157796760254,24,0.6642640836213995,0.24735622098884544,15,0.5195826062105365,0.26752466037740713,24,10.4144875,1.7998499773984786,24
tabpfn3_self_training,100,0.8148145721716723,0.09390309783603303,24,0.7749659695702364,0.10160630908702857,24,0.7734507836499183,0.10048592070418257,24,0.7734507836499183,0.10048592070418257,24,0.8980152833630498,0.07014145750307246,24,0.7303067549997403,0.19896176065730448,15,0.4480688146265457,0.22972987799579922,24,11.592091666666667,2.1359952963465285,24
tabpfn3_self_training,250,0.8497100888013973,0.07712807179770716,24,0.8070415883186568,0.10058883918733638,24,0.8112949263556938,0.09430997368763497,24,0.8112949263556938,0.09430997368763497,24,0.9256287609955596,0.053254687230288374,24,0.7765407526661117,0.16633305234790977,15,0.3651954449133868,0.17375729099594667,24,11.845733333333333,2.99591155013493,24
tabpfn3_self_training,500,0.8647735037601793,0.06915734649470326,24,0.8236591760031827,0.09537012536918742,24,0.8298396571031296,0.08843457975082707,24,0.8298396571031296,0.08843457975082707,24,0.9384786269410353,0.046533332722314046,24,0.7974401705954097,0.1625772130825837,15,0.3228664628926697,0.15506757940319546,24,12.245849999999999,1.9603436504414442,24
