dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,tabiclv2_self_training,50,0.7762881177707676,0.026848650679099716,3,0.7446070747517508,0.0234328804944703,3,0.7491865827045574,0.025881867889007766,3,0.7491865827045574,0.025881867889007766,3,0.8440655394683086,0.018086086264787752,3,0.7621434863237934,0.03128427590514041,3,0.4713708380392678,0.03001001452279477,3,6.288900000000001,2.165284018321845,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3_self_training,50,0.7792674377847879,0.01582827050814659,3,0.7405804138071495,0.0065806841957074275,3,0.7483053748228891,0.010829751789607265,3,0.7483053748228891,0.010829751789607265,3,0.8454647379750759,0.0028448901118611728,3,0.7718143815906594,0.004137176312873245,3,0.4702883377751222,0.015941368856440888,3,9.616033333333334,2.880978039370195,3,3,3,0,1.0,True,2.0
MagicTelescope,laplacian_ssl,50,0.7214335786890992,0.03184481144500377,3,0.6253208054049271,0.06127401697329266,3,0.6152300322199795,0.08506356078713993,3,0.6152300322199795,0.08506356078713993,3,0.7580478665304039,0.08008932718550765,3,0.6568996644584889,0.06073191976575847,3,0.5871003870843712,0.058228179373476734,3,4.5137,0.25233224130102766,3,3,3,0,1.0,True,3.0
MagicTelescope,tabpfn3_self_training,100,0.8220294426919033,0.02439418349830762,3,0.7862114594054628,0.03678436663393904,3,0.7958308820199967,0.033338270999772004,3,0.7958308820199967,0.033338270999772004,3,0.8730088445509653,0.030499270724713284,3,0.8268324259989668,0.034927270323897544,3,0.42168281254795276,0.04036994244531222,3,10.284166666666666,1.1644324812256546,3,3,3,0,1.0,True,1.0
MagicTelescope,tabiclv2_self_training,100,0.8157202944269191,0.013962430835845948,3,0.7831685814976052,0.026007260903707387,3,0.7907859355860268,0.02096173142641408,3,0.7907859355860268,0.02096173142641408,3,0.8730575386795042,0.02112664193346672,3,0.8211212620485409,0.019263400006179227,3,0.42332584520409905,0.027236392472144506,3,7.2071,0.7561024004723166,3,3,3,0,1.0,True,2.0
MagicTelescope,laplacian_ssl,100,0.7507886435331231,0.03468338337176626,3,0.6728615296583612,0.05060062430732072,3,0.6802465844530415,0.061255053742077,3,0.6802465844530415,0.061255053742077,3,0.764273289633889,0.07127509061238209,3,0.697143945595503,0.07280252243669778,3,0.5412613473323207,0.0525049198262033,3,5.1140333333333325,0.0985501056992507,3,3,3,0,1.0,True,3.0
MagicTelescope,tabpfn3_self_training,250,0.8571678934454959,0.010496609841836209,3,0.8273869922424798,0.008437956340786408,3,0.8377980803031219,0.010473878976615942,3,0.8377980803031219,0.010473878976615942,3,0.9117010778576683,0.00927334984642085,3,0.8774702802872115,0.014795822835741119,3,0.349357091778483,0.021306353347459686,3,10.712133333333334,0.035309677615823355,3,3,3,0,1.0,True,1.0
MagicTelescope,tabiclv2_self_training,250,0.8555906063792499,0.00856417225578025,3,0.8272530328764166,0.008012690766976043,3,0.8366231359354598,0.009169581529092885,3,0.8366231359354598,0.009169581529092885,3,0.9115667143909536,0.005147240057638326,3,0.873326571724276,0.013412523141167068,3,0.349986189312854,0.014411941526138288,3,6.289966666666667,0.12066235259323163,3,3,3,0,1.0,True,2.0
MagicTelescope,laplacian_ssl,250,0.8106379249912373,0.011135534153794672,3,0.7648900987662403,0.009777377295340327,3,0.7785009960177525,0.011482074223884534,3,0.7785009960177525,0.011482074223884534,3,0.8629812889275209,0.014274406618729928,3,0.8049653082850542,0.025397491931164903,3,0.43393828933487893,0.018773907211283636,3,5.6687666666666665,0.02984230777492501,3,3,3,0,1.0,True,3.0
MagicTelescope,tabpfn3_self_training,500,0.8687346652646338,0.007892274973149467,3,0.8393281665023998,0.009638844440373794,3,0.8506237833962992,0.009296754026801994,3,0.8506237833962992,0.009296754026801994,3,0.9264076139028404,0.005399308388314819,3,0.8962363036525621,0.005642796530468462,3,0.31926654138373545,0.011760101267345655,3,11.208,0.08472850759927299,3,3,3,0,1.0,True,1.0
