method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
embedding_alignment_ssl,50,0.623485343178381,0.19504597222095096,6,0.4611463789601494,0.1529193004912436,6,0.4509132993090767,0.17181797386011785,6,0.4509132993090767,0.17181797386011785,6,0.7490845427110043,0.10942662188712773,6,0.6312518032231953,0.00923612798224568,3,0.811740591526366,0.40688062545913,6,3.8556833333333334,0.47855493066801286,6
embedding_alignment_ssl,100,0.6667981182374616,0.17071242622873858,6,0.5168919899318253,0.16698077229352198,6,0.5211262248302035,0.18939519258649612,6,0.5211262248302035,0.18939519258649612,6,0.7798240902775962,0.09172631535499809,6,0.670498341546612,0.01301202265375216,3,0.7301114923940882,0.3756801222677685,6,4.208716666666667,0.23045941435894213,6
embedding_alignment_ssl,250,0.6578767217841716,0.15502225947602635,6,0.4748623680918136,0.13970156730696556,6,0.46152947941550887,0.15571020595447663,6,0.46152947941550887,0.15571020595447663,6,0.7923407282406784,0.09252973042469845,6,0.6811518461922713,0.00334971768558463,3,0.718874609635998,0.35191753903141954,6,4.118116666666666,0.3004444735165997,6
embedding_alignment_ssl,500,0.6874997693836559,0.14648341625860795,6,0.5044478169983101,0.16961412007639803,6,0.5138796947571577,0.19003034486039896,6,0.5138796947571577,0.19003034486039896,6,0.8006984064805661,0.08456688011752954,6,0.6907226932518912,0.010755098034014315,3,0.6883992016782937,0.33841978440466874,6,4.091216666666667,0.17627555039388382,6
geometric_attention_ssl,50,0.6286687907351364,0.14574190216228639,6,0.39397761823728555,0.11811368183543355,6,0.3320948316459153,0.11574275060224457,6,0.3320948316459153,0.11574275060224457,6,0.6472390722007407,0.061112086253185566,6,0.354645727197134,0.08632619329967703,3,0.8245261965701869,0.3057222391252636,6,11.941016666666668,3.071359106595428,6
geometric_attention_ssl,100,0.6581581638820467,0.13535412995239282,6,0.43877716755503887,0.13342582473356068,6,0.40442687384909903,0.14932921590251064,6,0.40442687384909903,0.14932921590251064,6,0.7378668318959362,0.10974334591884106,6,0.5431294290386631,0.22272854886633897,3,0.7371376889073905,0.2944513119556953,6,12.747066666666667,2.386103139989272,6
geometric_attention_ssl,250,0.6851553350907791,0.1439628859281595,6,0.5234828788345464,0.19481563220148068,6,0.5211972687738563,0.20966042491941667,6,0.5211972687738563,0.20966042491941667,6,0.7973729177340219,0.0852879465725637,6,0.6688892501252518,0.02330010244829102,3,0.6719088258413995,0.323025751199669,6,14.770133333333334,2.617441618578467,6
geometric_attention_ssl,500,0.7025473067903604,0.14748587090422144,6,0.5575991706017035,0.20810003062512133,6,0.5586533515105867,0.22377963444434212,6,0.5586533515105867,0.22377963444434212,6,0.8083501982702684,0.08771487412449068,6,0.7092528300137468,0.013888874060865641,3,0.6484100813853086,0.31642019581685166,6,17.084950000000003,2.111038514807345,6
unlabeled_attention_ssl,50,0.6399587410729622,0.15543733979601063,6,0.4844452865533464,0.207331367103189,6,0.45928984226748587,0.21322798283688213,6,0.45928984226748587,0.21322798283688213,6,0.7389422050621354,0.10780516528858586,6,0.5734677391044897,0.06396380506245643,3,0.7650625888262329,0.3480694642621851,6,6.131316666666667,1.3379438111021946,6
unlabeled_attention_ssl,100,0.6501070246265085,0.15728684231188594,6,0.5589987213264646,0.21730954339131772,6,0.5477476620286637,0.20561439816600446,6,0.5477476620286637,0.20561439816600446,6,0.7495493133805343,0.10571064481993298,6,0.6298803578276027,0.00860154125671002,3,0.9246081098728219,0.35068414176035584,6,6.660799999999999,1.572816590705986,6
unlabeled_attention_ssl,250,0.660015008751074,0.1535793455107092,6,0.5568590455517083,0.19815382395502762,6,0.5519231378340838,0.19689041992946077,6,0.5519231378340838,0.19689041992946077,6,0.7539021905954941,0.10008115991609257,6,0.6407147579752824,0.03795052718211725,3,1.2226628537343205,0.6509839240501545,6,7.489850000000001,1.713718744426868,6
unlabeled_attention_ssl,500,0.6696756264755765,0.15216824903402737,6,0.5632916227505328,0.19651902760381573,6,0.5626201580116604,0.19390499270197964,6,0.5626201580116604,0.19390499270197964,6,0.7635838700797265,0.09342654541565469,6,0.6648557136446508,0.006190935821807837,3,1.4352958943660858,0.8549498231202527,6,9.450133333333333,2.2383930840374457,6
