dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
adult,unlabeled_attention_ssl,50,0.7798478179274576,0.029147206657041937,3,0.6561479958359997,0.13526125045412202,3,0.6264344962654843,0.16917988533634393,3,0.6264344962654843,0.16917988533634393,3,0.8336171918615429,0.00609641418290376,3,0.5734677391044897,0.06396380506245643,3,0.44869408269198585,0.03889382904582244,3,4.9463333333333335,0.28178944858410376,3,3,3,0,1.0,True,1.0
adult,unlabeled_attention_ssl,100,0.7927798819394685,0.02131602457195969,3,0.7565981135370414,0.02114694946617288,3,0.7351115670336018,0.004392512141561493,3,0.7351115670336018,0.004392512141561493,3,0.8430337356699408,0.009222240446208568,3,0.6298803578276027,0.00860154125671002,3,0.6363757585647929,0.20203647289897766,3,5.2357000000000005,0.2503430246681542,3,3,3,0,1.0,True,1.0
adult,unlabeled_attention_ssl,250,0.7989217593066503,0.030607935150435594,3,0.737623403633934,0.010020211156406894,3,0.7312187287822658,0.01988699688011373,3,0.7312187287822658,0.01988699688011373,3,0.8431188836353477,0.026160355486689033,3,0.6407147579752824,0.03795052718211725,3,0.6548693679635677,0.13036534970852942,3,5.928833333333333,0.05613709409413116,3,3,3,0,1.0,True,1.0
adult,geometric_attention_ssl,500,0.8364554543283175,0.002618480914859905,3,0.7466115887109991,0.013983888031838209,3,0.7608424596841856,0.005993412242450114,3,0.7608424596841856,0.005993412242450114,3,0.886882683486287,0.005839448590908403,3,0.7092528300137468,0.013888874060865641,3,0.3599641732837231,0.010416710972059935,3,15.544166666666667,1.4666892797499183,3,3,3,0,1.0,True,1.0
jannis,embedding_alignment_ssl,50,0.4537131028442905,0.09186881239453987,3,0.32641474828603106,0.02369652686591851,3,0.3048291516013819,0.05716061149416262,3,0.3048291516013819,0.05716061149416262,3,0.651620089483056,0.03437292814513236,3,,,0,1.1781899531263675,0.09954691550206875,3,4.164333333333333,0.3710456755351468,3,3,3,0,1.0,True,1.0
jannis,embedding_alignment_ssl,100,0.5137238510379969,0.04953097438557948,3,0.36671736909763997,0.025827485195644838,3,0.35025091500806643,0.020091460328529504,3,0.35025091500806643,0.020091460328529504,3,0.6985687936804044,0.034841168607774045,3,,,0,1.0705974429907574,0.07069313366857934,3,4.370866666666667,0.19430168124165403,3,3,3,0,1.0,True,1.0
jannis,unlabeled_attention_ssl,250,0.5211082581954977,0.012018181012278837,3,0.37609468746948255,0.005889038949082277,3,0.3726275468859018,0.008852920688417911,3,0.3726275468859018,0.008852920688417911,3,0.6646854975556405,0.02184896508496288,3,,,0,1.7904563395050734,0.27438425897563773,3,9.050866666666666,0.16914302626278638,3,3,3,0,1.0,True,1.0
jannis,unlabeled_attention_ssl,500,0.5313190422165164,0.019683386868397473,3,0.384095135998096,0.012605294612472858,3,0.3857836035325453,0.012558351932023258,3,0.3857836035325453,0.012558351932023258,3,0.6793376779239263,0.015654685319340708,3,,,0,2.1740119697641824,0.43545968988101347,3,11.481066666666669,0.19025368152373132,3,3,3,0,1.0,True,1.0
