dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
adult,embedding_alignment_ssl,50,0.7932575835124714,0.0141282958663909,3,0.5958780096342678,0.0586636076200554,3,0.5969974470167715,0.08071226804304878,3,0.5969974470167715,0.08071226804304878,3,0.8465489959389524,0.016000213302701675,3,0.6312518032231953,0.00923612798224568,3,0.4452912299263645,0.03338586823657633,3,3.5470333333333333,0.3860928558434269,3,3,3,0,1.0,True
adult,embedding_alignment_ssl,100,0.8198723854369264,0.010407685271567595,3,0.6670666107660105,0.03717709738195589,3,0.6920015346523406,0.04095810223414861,3,0.6920015346523406,0.04095810223414861,3,0.8610793868747884,0.0036215488762562495,3,0.670498341546612,0.01301202265375216,3,0.3896255417974192,0.0070227386949696284,3,4.046566666666666,0.12707416469657903,3,3,3,0,1.0,True
adult,embedding_alignment_ssl,250,0.7937694066264033,0.0327458545768153,3,0.588934680382588,0.09328361426167944,3,0.5763710849859042,0.13896758133805345,3,0.5763710849859042,0.13896758133805345,3,0.8740771719916377,0.0037756961783156733,3,0.6811518461922713,0.00334971768558463,3,0.40058125684740326,0.024210630433349176,3,3.938333333333333,0.33831561201536847,3,3,3,0,1.0,True
adult,embedding_alignment_ssl,500,0.8209301532057188,0.0009511283901297401,3,0.6589675580879688,0.006527951687751422,3,0.6868469940188491,0.006916133018256487,3,0.6868469940188491,0.006916133018256487,3,0.8773876876655976,0.006194007006505598,3,0.6907226932518912,0.010755098034014315,3,0.37954151290095894,0.007794097959804135,3,4.055366666666667,0.08171782751232012,3,3,3,0,1.0,True
adult,geometric_attention_ssl,50,0.7606715119254787,0.0,3,0.5,0.0,3,0.4320348837209302,0.0,3,0.4320348837209302,0.0,3,0.6394472431226134,0.09362086468702696,3,0.354645727197134,0.08632619329967703,3,0.5462470039699198,0.010547443263842415,3,9.148366666666666,0.09589250926601897,3,3,3,0,1.0,True
adult,geometric_attention_ssl,100,0.7801207902548879,0.03368713823708532,3,0.5497693599094754,0.08620306002339286,3,0.5134472958733884,0.14101043421479562,3,0.5134472958733884,0.14101043421479562,3,0.7696553851943918,0.16452333625035442,3,0.5431294290386631,0.22272854886633897,3,0.47162523904204656,0.07041622489229744,3,10.587066666666667,0.3450470451015822,3,3,3,0,1.0,True
adult,geometric_attention_ssl,250,0.816221380557546,0.012086974926982326,3,0.6968638035845567,0.0662750786843298,3,0.7090684972492838,0.05341324897688419,3,0.7090684972492838,0.05341324897688419,3,0.8749567017415657,0.006114645327695962,3,0.6688892501252518,0.02330010244829102,3,0.3771623413297618,0.006463744258055226,3,12.392566666666667,0.1889044555677112,3,3,3,0,1.0,True
adult,geometric_attention_ssl,500,0.8364554543283175,0.002618480914859905,3,0.7466115887109991,0.013983888031838209,3,0.7608424596841856,0.005993412242450114,3,0.7608424596841856,0.005993412242450114,3,0.886882683486287,0.005839448590908403,3,0.7092528300137468,0.013888874060865641,3,0.3599641732837231,0.010416710972059935,3,15.544166666666667,1.4666892797499183,3,3,3,0,1.0,True
adult,unlabeled_attention_ssl,50,0.7798478179274576,0.029147206657041937,3,0.6561479958359997,0.13526125045412202,3,0.6264344962654843,0.16917988533634393,3,0.6264344962654843,0.16917988533634393,3,0.8336171918615429,0.00609641418290376,3,0.5734677391044897,0.06396380506245643,3,0.44869408269198585,0.03889382904582244,3,4.9463333333333335,0.28178944858410376,3,3,3,0,1.0,True
adult,unlabeled_attention_ssl,100,0.7927798819394685,0.02131602457195969,3,0.7565981135370414,0.02114694946617288,3,0.7351115670336018,0.004392512141561493,3,0.7351115670336018,0.004392512141561493,3,0.8430337356699408,0.009222240446208568,3,0.6298803578276027,0.00860154125671002,3,0.6363757585647929,0.20203647289897766,3,5.2357000000000005,0.2503430246681542,3,3,3,0,1.0,True
