dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
letter,rpl_lite_xgboost,50,0.08789968652037612,0.032695068169845916,3,1402.0,521.486337309042,3,27.89603333333333,1.2394032851874057,3
letter,rpl_lite_xgboost,100,0.26995807127882593,0.01013151393400252,3,4292.333333333333,161.0910715506396,3,68.90626666666667,50.640515518933384,3
letter,rpl_lite_xgboost,250,0.3809523809523809,0.0,3,6000.0,0.0,3,50.93453333333333,1.0968767220309419,3
letter,rpl_lite_xgboost,500,0.3870967741935483,0.0,3,6000.0,0.0,3,60.0693,2.814140257698612,3
letter,rpl_lr,50,,,0,,,0,0.9413,0.11234860924817885,3
letter,rpl_lr,100,,,0,,,0,1.2808333333333335,0.06836770680177397,3
letter,rpl_lr,250,,,0,,,0,1.3104666666666667,0.267378090600807,3
letter,rpl_lr,500,,,0,,,0,1.5274333333333334,0.14239277837493503,3
letter,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,13.7408,3.843474585580083,3
letter,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,14.888733333333334,0.5248339959771398,3
letter,self_training_catboost,250,0.0,0.0,3,0.0,0.0,3,18.587833333333332,1.277239415040631,3
letter,self_training_catboost,500,0.0,0.0,3,0.0,0.0,3,16.327333333333332,7.406248647144742,3
letter,self_training_lightgbm,50,0.32196447230929987,0.03688851188473995,3,5135.333333333333,588.3717645616022,3,140.98576666666665,30.272451211346155,3
letter,self_training_lightgbm,100,0.3773584905660377,0.0,3,6000.0,0.0,3,155.98043333333334,51.146982032699974,3
letter,self_training_lightgbm,250,0.3809523809523809,0.0,3,6000.0,0.0,3,205.03863333333334,87.0742651612021,3
letter,self_training_lightgbm,500,0.3870967741935483,0.0,3,6000.0,0.0,3,315.4952,253.04859258259074,3
letter,self_training_lr,50,0.0058098223615464665,0.01006290751314828,3,92.66666666666667,160.50337483471597,3,0.8453666666666667,0.5833962832700713,3
letter,self_training_lr,100,0.07689727463312367,0.02942202180354301,3,1222.6666666666667,467.8101466763343,3,1.0517,0.32213548391942165,3
letter,self_training_lr,250,0.1273227513227513,0.021027698522383113,3,2005.3333333333333,331.1862517275337,3,2.540366666666667,0.9739701449907656,3
letter,self_training_lr,500,0.1711827956989247,0.016391710467276135,3,2653.3333333333335,254.07151224278041,3,2.134933333333333,0.5948615833396316,3
letter,self_training_xgboost,50,0.015047021943573666,0.02606220650887339,3,240.0,415.69219381653056,3,40.3623,20.817421170500445,3
letter,self_training_xgboost,100,0.06563941299790353,0.018830290909984653,3,1043.6666666666667,299.4016254687562,3,80.65236666666667,4.023612007057013,3
letter,self_training_xgboost,250,0.33803174603174596,0.020348290101453503,3,5324.0,320.48556909789244,3,107.55256666666666,2.2305324797754795,3
letter,self_training_xgboost,500,0.3870967741935483,0.0,3,6000.0,0.0,3,129.39133333333334,4.633495969927384,3
phoneme,rpl_lite_xgboost,50,0.46657305562056317,0.037427106146858465,3,1993.6666666666667,159.92602456552632,3,7.5408,3.375462058740995,3
phoneme,rpl_lite_xgboost,100,0.4844107664377615,0.006699067769427374,3,2045.6666666666667,28.290163190291644,3,9.209666666666665,0.9259778957044996,3
phoneme,rpl_lite_xgboost,250,0.4883378345200098,0.0,3,1989.0,0.0,3,7.5500333333333325,0.4445370325780893,3
phoneme,rpl_lite_xgboost,500,0.4883599267590897,0.0,3,1867.0,0.0,3,9.498266666666668,0.7832976467048357,3
phoneme,rpl_lr,50,,,0,,,0,0.9055666666666667,0.45829837806098905,3
phoneme,rpl_lr,100,,,0,,,0,0.7847666666666667,0.5269215627902634,3
phoneme,rpl_lr,250,,,0,,,0,1.5740333333333334,0.6941224987949413,3
phoneme,rpl_lr,500,,,0,,,0,1.6202666666666665,0.7462107566454219,3
phoneme,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,1.1462,0.7970304322922683,3
phoneme,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,2.561033333333333,1.626518322470833,3
phoneme,self_training_catboost,250,0.1747278828054668,0.016301321128604707,3,711.6666666666666,66.39528095680697,3,5.728633333333334,2.5308257651077706,3
phoneme,self_training_catboost,500,0.1961810096782631,0.0,3,750.0,0.0,3,5.666033333333334,1.2951821351969512,3
phoneme,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,0.3075333333333334,0.15320709296025864,3
phoneme,self_training_lightgbm,100,0.4825163785618439,0.005575250891596932,3,2037.6666666666667,23.54428451521374,3,7.166033333333334,2.098898173645719,3
phoneme,self_training_lightgbm,250,0.4883378345200098,0.0,3,1989.0,0.0,3,15.2281,6.707845016844083,3
phoneme,self_training_lightgbm,500,0.4883599267590897,0.0,3,1867.0,0.0,3,13.688266666666665,3.4801230097991263,3
phoneme,self_training_lr,50,0.4983228020906467,0.0027023181333472035,3,2129.3333333333335,11.547005383792483,3,0.17056666666666667,0.04192282592256077,3
phoneme,self_training_lr,100,0.4998816007577552,0.0,3,2111.0,0.0,3,0.1612,0.02345975276937077,3
phoneme,self_training_lr,250,0.45028234716425236,0.01810361296913897,3,1834.0,73.7360156233031,3,0.15073333333333336,0.023513046024140165,3
phoneme,self_training_lr,500,0.3902694219199581,0.016945921356783192,3,1492.0,64.78425734698207,3,0.18610000000000002,0.09116929307612294,3
phoneme,self_training_xgboost,50,0.4402059443014275,0.05401679797605329,3,1881.0,230.81377775167581,3,5.983433333333333,3.488164142257834,3
phoneme,self_training_xgboost,100,0.4740705659483779,0.013553481431450838,3,2002.0,57.23635208501674,3,5.830099999999999,0.4348529521573929,3
phoneme,self_training_xgboost,250,0.4851460839675914,0.005528274121874633,3,1976.0,22.516660498395403,3,9.143466666666667,2.312708231345522,3
phoneme,self_training_xgboost,500,0.4883599267590897,0.0,3,1867.0,0.0,3,7.6295,0.38277842154437036,3
spambase,rpl_lite_xgboost,50,0.48815426997245187,0.0,3,1772.0,0.0,3,4.046166666666667,1.85258615004359,3
spambase,rpl_lite_xgboost,100,0.488268156424581,0.0,3,1748.0,0.0,3,6.536733333333333,0.3591232982324221,3
spambase,rpl_lite_xgboost,250,0.4880466472303207,0.0,3,1674.0,0.0,3,7.336366666666667,0.2711048567129211,3
spambase,rpl_lite_xgboost,500,0.48805031446540886,0.0,3,1552.0,0.0,3,7.865333333333333,0.462894764858421,3
spambase,rpl_lr,50,,,0,,,0,0.47783333333333333,0.30468215132057436,3
spambase,rpl_lr,100,,,0,,,0,0.39419999999999994,0.12262740313649312,3
spambase,rpl_lr,250,,,0,,,0,0.5605666666666667,0.2602992956835138,3
spambase,rpl_lr,500,,,0,,,0,1.1235000000000002,0.4520680922162059,3
spambase,self_training_catboost,50,0.37061524334251605,0.010776714907925585,3,1345.3333333333333,39.119475115769816,3,7.861766666666667,0.8136451888466697,3
spambase,self_training_catboost,100,0.4000000000000001,0.0,3,1432.0,0.0,3,6.481966666666666,0.3981876986213077,3
spambase,self_training_catboost,250,0.4000000000000001,0.0,3,1372.0,0.0,3,8.0407,0.851598960779074,3
spambase,self_training_catboost,500,0.4000000000000001,0.0,3,1272.0,0.0,3,9.429766666666668,0.46749400352660436,3
spambase,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,0.9531666666666666,0.677527536955756,3
spambase,self_training_lightgbm,100,0.488268156424581,0.0,3,1748.0,0.0,3,12.478200000000001,2.089050255498895,3
spambase,self_training_lightgbm,250,0.4880466472303207,0.0,3,1674.0,0.0,3,13.785866666666669,0.46564299987579866,3
spambase,self_training_lightgbm,500,0.48805031446540886,0.0,3,1552.0,0.0,3,17.100533333333335,1.7130009525196788,3
spambase,self_training_lr,50,0.5,0.0,3,1815.0,0.0,3,0.29716666666666663,0.022989200363069038,3
spambase,self_training_lr,100,0.5,0.0,3,1790.0,0.0,3,0.37473333333333336,0.06645339218830992,3
spambase,self_training_lr,250,0.5,0.0,3,1715.0,0.0,3,0.3169,0.010376897416858296,3
spambase,self_training_lr,500,0.5,0.0,3,1590.0,0.0,3,0.34073333333333333,0.02655133392757009,3
